Palabra, veces usada, porcentaje
alma,1,1.562500%
alumbra,1,1.562500%
amarse,1,1.562500%
Ame,1,1.562500%
brillo,1,1.562500%
camino,1,1.562500%
campanas,1,1.562500%
cantan,1,1.562500%
Con,1,1.562500%
corazón,1,1.562500%
cuando,1,1.562500%
De,3,4.687500%
dulce,1,1.562500%
el,4,6.250000%
en,3,4.687500%
entrega,1,1.562500%
ese,1,1.562500%
esperanza,2,3.125000%
fiesta,1,1.562500%
Hay,1,1.562500%
huerto,1,1.562500%
la,4,6.250000%
mi,2,3.125000%
milagro,1,1.562500%
más,3,4.687500%
nada,3,4.687500%
prodigio,1,1.562500%
que,2,3.125000%
realiza,1,1.562500%
Renunciacion,1,1.562500%
Se,1,1.562500%
Solamente,2,3.125000%
soledad,1,1.562500%
total,1,1.562500%
una,4,6.250000%
vez,4,6.250000%
vida,1,1.562500%
Y,3,4.687500%
Total de palabras unicas usadas: 38
Total de palabras (repetidas): 64
Porcentaje de vocabulario distinto: 59.375000
