Palabra, veces usada, porcentaje
a,6,2.325581%
amo,6,2.325581%
amor,6,2.325581%
bien,6,2.325581%
bonita,6,2.325581%
buena,6,2.325581%
con,24,9.302325%
corazón,6,2.325581%
Dices,18,6.976745%
Engañas,6,2.325581%
Eres,6,2.325581%
hombres,6,2.325581%
intención,6,2.325581%
lo,6,2.325581%
loca,6,2.325581%
los,6,2.325581%
mentiras,12,4.651163%
mentirosa,12,4.651163%
mi,6,2.325581%
no,18,6.976745%
pasión,6,2.325581%
pero,12,4.651163%
Porque,6,2.325581%
quiero,12,4.651163%
Siempre,6,2.325581%
te,18,6.976745%
tienes,12,4.651163%
tu,12,4.651163%
Total de palabras unicas usadas: 28
Total de palabras (repetidas): 258
Porcentaje de vocabulario distinto: 10.852714
