Palabra, veces usada, porcentaje
a,2,1.428571%
Al,2,1.428571%
alma,1,0.714286%
amor,2,1.428571%
arrepentido,2,1.428571%
aún,2,1.428571%
buscar,2,1.428571%
candado,1,0.714286%
casa,2,1.428571%
como,1,0.714286%
corazón,1,0.714286%
cruz,1,0.714286%
Cuanta,1,0.714286%
de,1,0.714286%
decirte,2,1.428571%
detuvo,1,0.714286%
dicho,2,1.428571%
diga,2,1.428571%
dolor,1,0.714286%
Dónde,2,1.428571%
el,4,2.857143%
en,3,2.142857%
es,2,1.428571%
estás,3,2.142857%
existe,1,0.714286%
ha,1,0.714286%
han,2,1.428571%
has,1,0.714286%
hasta,2,1.428571%
hay,2,1.428571%
He,4,2.857143%
hoy,2,1.428571%
ido,1,0.714286%
irte,1,0.714286%
llegado,1,0.714286%
llegar,1,0.714286%
me,5,3.571429%
mi,1,0.714286%
muerto,1,0.714286%
más,2,1.428571%
Nada,6,4.285715%
Nadie,2,1.428571%
natal,1,0.714286%
nieve,1,0.714286%
no,2,1.428571%
nunca,1,0.714286%
Para,2,1.428571%
podido,1,0.714286%
puerta,1,0.714286%
que,11,7.857143%
queda,1,0.714286%
quietud,2,1.428571%
Qué,1,0.714286%
rosal,1,0.714286%
se,1,0.714286%
seguro,1,0.714286%
Si,4,2.857143%
silencio,1,0.714286%
Solo,1,0.714286%
sé,1,0.714286%
tampoco,1,0.714286%
te,1,0.714286%
teje,1,0.714286%
telarañas,1,0.714286%
Todo,1,0.714286%
tristeza,2,1.428571%
tu,5,3.571429%
tú,1,0.714286%
umbral,1,0.714286%
un,1,0.714286%
una,1,0.714286%
vives,2,1.428571%
volverás,1,0.714286%
vuelto,2,1.428571%
y,3,2.142857%
ya,1,0.714286%
Yo,1,0.714286%
yuyal,1,0.714286%
Total de palabras unicas usadas: 78
Total de palabras (repetidas): 140
Porcentaje de vocabulario distinto: 55.714287
