Palabra, veces usada, porcentaje
a,4,2.051282%
Amigo,3,1.538462%
asesino,2,1.025641%
Asfíxialas,2,1.025641%
besos,2,1.025641%
buen,2,1.025641%
canciones,2,1.025641%
Con,9,4.615385%
consejo,2,1.025641%
Consigue,2,1.025641%
Contágialas,2,1.025641%
cómprate,2,1.025641%
daga,2,1.025641%
darte,2,1.025641%
de,11,5.641026%
desdenes,1,0.512821%
Despiértalas,1,0.512821%
desprecio,1,0.512821%
detalles,2,1.025641%
disfrutar,2,1.025641%
dulzuras,2,1.025641%
día,1,0.512821%
el,2,1.025641%
en,2,1.025641%
eres,1,0.512821%
errores,1,0.512821%
es,4,2.051282%
esos,1,0.512821%
especial,1,0.512821%
este,2,1.025641%
Estás,1,0.512821%
falles,2,1.025641%
flores,3,1.538462%
golpe,1,0.512821%
hay,3,1.538462%
hombres,1,0.512821%
importa,1,0.512821%
ingratas,1,0.512821%
la,1,0.512821%
las,1,0.512821%
les,2,1.025641%
llanto,1,0.512821%
llorando,1,0.512821%
llévales,1,0.512821%
locuras,2,1.025641%
los,3,1.538462%
mortal,1,0.512821%
mujer,2,1.025641%
mujeres,3,1.538462%
mundo,2,1.025641%
más,1,0.512821%
Mátalas,4,2.051282%
No,7,3.589744%
O,2,1.025641%
para,1,0.512821%
pasa,1,0.512821%
peor,1,0.512821%
pistola,2,1.025641%
placeres,2,1.025641%
por,1,0.512821%
prefieres,2,1.025641%
pueda,2,1.025641%
Que,8,4.102564%
quieres,4,2.051282%
qué,1,0.512821%
resistirse,2,1.025641%
santo,1,0.512821%
Seguro,1,0.512821%
ser,1,0.512821%
serenata,1,0.512821%
seres,1,0.512821%
Si,7,3.589744%
Sin,2,1.025641%
sobredosis,2,1.025641%
sus,2,1.025641%
te,1,0.512821%
ternura,2,1.025641%
todas,2,1.025641%
tus,2,1.025641%
tú,1,0.512821%
un,4,2.051282%
una,9,4.615385%
voy,2,1.025641%
vuélvete,2,1.025641%
y,5,2.564103%
Total de palabras unicas usadas: 85
Total de palabras (repetidas): 195
Porcentaje de vocabulario distinto: 43.589745
