Palabra, veces usada, porcentaje
abierto,1,0.704225%
ahora,3,2.112676%
Al,1,0.704225%
algún,2,1.408451%
armado,1,0.704225%
arrepentirás,1,0.704225%
Aunque,1,0.704225%
bebé,1,0.704225%
buen,1,0.704225%
de,4,2.816901%
debería,1,0.704225%
desearte,1,0.704225%
día,2,1.408451%
emoción,9,6.338028%
en,1,0.704225%
es,1,0.704225%
estaré,1,0.704225%
Estoy,2,1.408451%
ha,13,9.154929%
hacer,1,0.704225%
hechizo,2,1.408451%
hiciste,1,0.704225%
hombre,1,0.704225%
ido,12,8.450704%
igual,1,0.704225%
La,9,6.338028%
lejos,2,1.408451%
libre,7,4.929577%
lo,2,1.408451%
mal,1,0.704225%
me,1,0.704225%
mejor,1,0.704225%
mí,2,1.408451%
nena,5,3.521127%
Oh,1,0.704225%
para,2,1.408451%
Pero,1,0.704225%
puedo,1,0.704225%
que,7,4.929577%
Sabes,2,1.408451%
se,12,8.450704%
seré,1,0.704225%
siempre,2,1.408451%
solo,1,0.704225%
soy,2,1.408451%
sé,2,1.408451%
tan,1,0.704225%
te,1,0.704225%
terminado,1,0.704225%
todavía,1,0.704225%
todo,2,1.408451%
tu,2,1.408451%
un,2,1.408451%
viviré,1,0.704225%
Y,2,1.408451%
Total de palabras unicas usadas: 55
Total de palabras (repetidas): 142
Porcentaje de vocabulario distinto: 38.732395
