Palabra, veces usada, porcentaje
a,32,2.965709%
ah,11,1.019462%
Ahora,1,0.092678%
Al,1,0.092678%
allá,1,0.092678%
amenaza,1,0.092678%
amiga,2,0.185357%
Anda,3,0.278035%
ando,3,0.278035%
Anoche,1,0.092678%
Antártica,1,0.092678%
apague,1,0.092678%
aparece,1,0.092678%
apecha,1,0.092678%
aquí,2,0.185357%
arrebatada,2,0.185357%
atrasó,1,0.092678%
atrevo,1,0.092678%
Auch,4,0.370714%
Aunque,2,0.185357%
Ayer,1,0.092678%
bailando,2,0.185357%
bajar,1,0.092678%
baje,2,0.185357%
barbería,1,0.092678%
basta,1,0.092678%
beber,1,0.092678%
Bebiendo,1,0.092678%
bebé,2,0.185357%
besarle,2,0.185357%
bese,1,0.092678%
Beto,1,0.092678%
boca,2,0.185357%
bofetón,1,0.092678%
borracho,3,0.278035%
buena,1,0.092678%
buscarte,1,0.092678%
cabrones,1,0.092678%
cabrón,9,0.834106%
calor,2,0.185357%
cama,3,0.278035%
cansó,1,0.092678%
Caribe,1,0.092678%
caripela,1,0.092678%
caviar,1,0.092678%
cazó,2,0.185357%
Cañón,1,0.092678%
celoso,5,0.463392%
cerveza,1,0.092678%
chapa,1,0.092678%
chinga,1,0.092678%
cien,1,0.092678%
cogeindo,1,0.092678%
Cogimo,1,0.092678%
colmadón,2,0.185357%
como,6,0.556070%
comoquiera,1,0.092678%
con,9,0.834106%
contento,1,0.092678%
contigo,1,0.092678%
cora,2,0.185357%
corazón,4,0.370714%
cree,1,0.092678%
Cuando,2,0.185357%
cuide,1,0.092678%
Cupido,1,0.092678%
cuántas,1,0.092678%
cómo,7,0.648749%
da,1,0.092678%
dale,1,0.092678%
dan,1,0.092678%
dar,3,0.278035%
darte,1,0.092678%
de,21,1.946246%
deja,1,0.092678%
dejaste,1,0.092678%
dejemos,1,0.092678%
desaparece,1,0.092678%
desde,1,0.092678%
despué,1,0.092678%
Después,3,0.278035%
dice,3,0.278035%
dices,1,0.092678%
difícil,2,0.185357%
Dime,15,1.390176%
Dio,1,0.092678%
Dios,1,0.092678%
dizque,1,0.092678%
Don,2,0.185357%
doy,1,0.092678%
dreadlo,1,0.092678%
dónde,3,0.278035%
egoísmo,1,0.092678%
eh,11,1.019462%
Eight,1,0.092678%
El,16,1.482854%
ella,5,0.463392%
emborrachaste,1,0.092678%
en,14,1.297498%
Enamora,2,0.185357%
encojona,1,0.092678%
enreda,1,0.092678%
enrola,1,0.092678%
entregue,2,0.185357%
equipo,1,0.092678%
eres,1,0.092678%
es,17,1.575533%
esa,1,0.092678%
ese,8,0.741427%
eso,6,0.556070%
esta,1,0.092678%
este,1,0.092678%
esto,2,0.185357%
estoy,3,0.278035%
estrella,1,0.092678%
está,1,0.092678%
estás,1,0.092678%
esté,1,0.092678%
Extrañando,1,0.092678%
ey,50,4.633920%
faltas,1,0.092678%
Fifty,1,0.092678%
flipo,1,0.092678%
frente,1,0.092678%
fue,2,0.185357%
fuego,2,0.185357%
fuimo,1,0.092678%
galla,1,0.092678%
ganas,1,0.092678%
gatito,1,0.092678%
gozadera,1,0.092678%
Gran,1,0.092678%
gruñón,1,0.092678%
Ha,1,0.092678%
habla,1,0.092678%
hace,3,0.278035%
hacer,6,0.556070%
Hadid,1,0.092678%
he,2,0.185357%
Hoy,2,0.185357%
huelerlo,1,0.092678%
hígado,1,0.092678%
invicta,1,0.092678%
jah,1,0.092678%
juega,1,0.092678%
juego,1,0.092678%
Khabib,1,0.092678%
la,27,2.502317%
las,7,0.648749%
le,12,1.112141%
lejo,1,0.092678%
levanté,1,0.092678%
libre,1,0.092678%
llama,1,0.092678%
llame,1,0.092678%
llegue,4,0.370714%
llegó,1,0.092678%
llevas,1,0.092678%
lo,10,0.926784%
loca,12,1.112141%
loco,4,0.370714%
los,6,0.556070%
luego,1,0.092678%
luz,1,0.092678%
machismo,1,0.092678%
madrugada,1,0.092678%
mambo,2,0.185357%
mami,2,0.185357%
mar,1,0.092678%
me,16,1.482854%
mejor,2,0.185357%
mente,1,0.092678%
Mera,1,0.092678%
merece,1,0.092678%
mi,7,0.648749%
mignon,1,0.092678%
mil,1,0.092678%
mirando,2,0.185357%
mismo,3,0.278035%
modelo,1,0.092678%
moja,1,0.092678%
mojamo,3,0.278035%
mujer,1,0.092678%
mundo,1,0.092678%
má,2,0.185357%
Más,1,0.092678%
mí,3,0.278035%
Mírala,2,0.185357%
na,1,0.092678%
nadie,1,0.092678%
nde,2,0.185357%
nenas,4,0.370714%
nenes,4,0.370714%
neverita,1,0.092678%
niegue,2,0.185357%
no,27,2.502317%
noche,2,0.185357%
normal,1,0.092678%
nos,6,0.556070%
nosotro,1,0.092678%
novio,1,0.092678%
nuevas,1,0.092678%
nuevo,3,0.278035%
o,10,0.926784%
okey,6,0.556070%
Olga,1,0.092678%
otra,2,0.185357%
otro,1,0.092678%
pa,12,1.112141%
papelón,4,0.370714%
par,1,0.092678%
pasa,4,0.370714%
pasó,5,0.463392%
pecado,1,0.092678%
pece,1,0.092678%
pecho,1,0.092678%
pediste,1,0.092678%
perderlo,1,0.092678%
perdonó,1,0.092678%
perico,1,0.092678%
pero,18,1.668211%
Perreando,1,0.092678%
peñón,2,0.185357%
pidiendo,5,0.463392%
piedra,1,0.092678%
playa,5,0.463392%
pongan,1,0.092678%
pongo,1,0.092678%
por,5,0.463392%
porno,1,0.092678%
Porque,1,0.092678%
Prende,7,0.648749%
prenderlo,1,0.092678%
probando,1,0.092678%
provoca,2,0.185357%
psycho,4,0.370714%
Pégate,2,0.185357%
que,32,2.965709%
Quería,1,0.092678%
Quiere,2,0.185357%
quieren,2,0.185357%
quiero,3,0.278035%
quién,9,0.834106%
qué,18,1.668211%
rato,1,0.092678%
razón,1,0.092678%
read,2,0.185357%
ready,2,0.185357%
Reid,1,0.092678%
relaciones,1,0.092678%
rica,1,0.092678%
