Palabra, veces usada, porcentaje
Bailan,3,2.564103%
bailando,1,0.854701%
bailar,1,0.854701%
bonito,3,2.564103%
cantar,1,0.854701%
cintura,4,3.418804%
ciudades,1,0.854701%
como,2,1.709402%
Con,1,0.854701%
Cuando,1,0.854701%
cubanas,1,0.854701%
cubanos,2,1.709402%
del,1,0.854701%
dos,1,0.854701%
el,3,2.564103%
en,2,1.709402%
estoy,1,0.854701%
gozar,1,0.854701%
gozo,1,0.854701%
Habana,3,2.564103%
hasta,1,0.854701%
hay,1,0.854701%
hermanas,1,0.854701%
hombros,4,3.418804%
Igualito,3,2.564103%
Inspiración,1,0.854701%
la,7,5.982906%
las,4,3.418804%
los,6,5.128205%
mambo,3,2.564103%
mexicana,1,0.854701%
mexicanas,1,0.854701%
mexicanos,2,1.709402%
mira,1,0.854701%
Muchacho,1,0.854701%
Mueven,4,3.418804%
México,1,0.854701%
No,1,0.854701%
olvidar,1,0.854701%
Para,2,1.709402%
parece,1,0.854701%
Pero,3,2.564103%
que,8,6.837607%
qué,3,2.564103%
reír,1,0.854701%
ritmo,1,0.854701%
sabroso,3,2.564103%
sentido,1,0.854701%
Son,2,1.709402%
un,1,0.854701%
una,1,0.854701%
veo,1,0.854701%
y,10,8.547009%
yo,1,0.854701%
Total de palabras unicas usadas: 54
Total de palabras (repetidas): 117
Porcentaje de vocabulario distinto: 46.153847
