Palabra, veces usada, porcentaje
adiós,5,3.906250%
adormece,1,0.781250%
al,1,0.781250%
antes,1,0.781250%
brillas,1,0.781250%
Caigo,1,0.781250%
cansado,5,3.906250%
cenizas,1,0.781250%
con,2,1.562500%
Cuentos,1,0.781250%
de,6,4.687500%
decirte,5,3.906250%
del,1,0.781250%
desaparezca,1,0.781250%
después,1,0.781250%
día,1,0.781250%
el,3,2.343750%
en,1,0.781250%
encienda,1,0.781250%
estas,1,0.781250%
Estoy,5,3.906250%
Existo,1,0.781250%
fue,1,0.781250%
guía,1,0.781250%
jamás,1,0.781250%
la,3,2.343750%
las,1,0.781250%
lo,1,0.781250%
luz,1,0.781250%
ni,2,1.562500%
no,9,7.031250%
nos,3,2.343750%
Nunca,1,0.781250%
perseguir,1,0.781250%
pesen,1,0.781250%
presen,1,0.781250%
pude,1,0.781250%
puedo,1,0.781250%
que,8,6.250000%
Quiero,4,3.125000%
recordaré,1,0.781250%
regresaré,1,0.781250%
renacer,1,0.781250%
sabor,1,0.781250%
salvador,6,4.687500%
sangre,1,0.781250%
se,1,0.781250%
ser,1,0.781250%
sin,1,0.781250%
sol,1,0.781250%
sombras,2,1.562500%
soy,5,3.906250%
Sueño,1,0.781250%
tu,7,5.468750%
un,2,1.562500%
vicio,1,0.781250%
Vuelves,1,0.781250%
Y,1,0.781250%
ya,6,4.687500%
Total de palabras unicas usadas: 59
Total de palabras (repetidas): 128
Porcentaje de vocabulario distinto: 46.093750
