Palabra, veces usada, porcentaje
a,13,1.277014%
aah,2,0.196464%
abunden,1,0.098232%
acercando,1,0.098232%
Acuérdate,2,0.196464%
acá,2,0.196464%
Adriel,2,0.196464%
agarrarte,2,0.196464%
agua,1,0.098232%
aguanto,2,0.196464%
ahora,18,1.768173%
al,4,0.392927%
algunas,1,0.098232%
Almudena,1,0.098232%
aman,1,0.098232%
Amigo,1,0.098232%
amigos,1,0.098232%
amor,1,0.098232%
andamos,2,0.196464%
ande,1,0.098232%
aquí,3,0.294695%
armas,1,0.098232%
asunto,1,0.098232%
Asuntos,1,0.098232%
atarte,2,0.196464%
ateo,12,1.178782%
atrás,2,0.196464%
bachatas,1,0.098232%
bailar,1,0.098232%
bajar,6,0.589391%
bajó,3,0.294695%
banco,1,0.098232%
bateando,1,0.098232%
bendita,1,0.098232%
bien,6,0.589391%
billete,1,0.098232%
boca,2,0.196464%
botella,1,0.098232%
bravo,1,0.098232%
brilla,1,0.098232%
Brindo,1,0.098232%
buenas,2,0.196464%
cabrón,1,0.098232%
cada,2,0.196464%
cadenón,1,0.098232%
calada,3,0.294695%
calma,1,0.098232%
cama,1,0.098232%
cambiado,3,0.294695%
cambie,4,0.392927%
cansa,1,0.098232%
cara,4,0.392927%
Carin,2,0.196464%
carro,1,0.098232%
casa,2,0.196464%
ceros,1,0.098232%
Chalino,1,0.098232%
chicas,1,0.098232%
chingazos,2,0.196464%
cielo,9,0.884086%
cien,1,0.098232%
closet,1,0.098232%
cobarde,1,0.098232%
cola,2,0.196464%
Comerte,10,0.982318%
como,10,0.982318%
con,4,0.392927%
contigo,2,0.196464%
cosa,1,0.098232%
cosas,3,0.294695%
Crecí,2,0.196464%
creo,13,1.277014%
cualquier,1,0.098232%
cuando,4,0.392927%
cuello,1,0.098232%
cuentan,1,0.098232%
cuentos,1,0.098232%
culo,1,0.098232%
cómo,1,0.098232%
Dame,4,0.392927%
daría,1,0.098232%
de,23,2.259332%
del,12,1.178782%
desconfiado,1,0.098232%
deseo,1,0.098232%
despierta,1,0.098232%
diablo,1,0.098232%
diamantes,1,0.098232%
dicen,1,0.098232%
diga,1,0.098232%
digas,2,0.196464%
dijo,1,0.098232%
dime,3,0.294695%
diré,1,0.098232%
don,1,0.098232%
Duermo,1,0.098232%
Déjales,2,0.196464%
día,1,0.098232%
díselo,2,0.196464%
Ea,1,0.098232%
echo,1,0.098232%
el,14,1.375246%
ella,1,0.098232%
ellos,1,0.098232%
En,16,1.571709%
enfoco,1,0.098232%
enseñaron,1,0.098232%
Entera,10,0.982318%
entramos,1,0.098232%
envidia,4,0.392927%
envuelto,1,0.098232%
era,13,1.277014%
es,9,0.884086%
escribo,1,0.098232%
escuchando,1,0.098232%
ese,1,0.098232%
eso,4,0.392927%
espiritualidad,1,0.098232%
Essa,4,0.392927%
Este,1,0.098232%
está,3,0.294695%
ey,16,1.571709%
Favela,2,0.196464%
fijo,1,0.098232%
final,1,0.098232%
forjó,1,0.098232%
forma,4,0.392927%
fueron,2,0.196464%
gallina,1,0.098232%
gallo,1,0.098232%
gastar,1,0.098232%
gente,1,0.098232%
golpes,1,0.098232%
gravedad,1,0.098232%
gritar,1,0.098232%
Gucci,1,0.098232%
Guccis,1,0.098232%
ha,9,0.884086%
Hablan,1,0.098232%
hablar,2,0.196464%
hablen,3,0.294695%
hacerle,1,0.098232%
hago,1,0.098232%
han,1,0.098232%
hayas,1,0.098232%
he,1,0.098232%
herida,2,0.196464%
hicieron,1,0.098232%
Historias,2,0.196464%
hombre,3,0.294695%
hora,1,0.098232%
hoy,1,0.098232%
hubieran,1,0.098232%
huevos,1,0.098232%
importan,2,0.196464%
la,12,1.178782%
Lambos,1,0.098232%
Las,9,0.884086%
le,4,0.392927%
León,2,0.196464%
lloro,1,0.098232%
lo,5,0.491159%
los,7,0.687623%
Madrileño,3,0.294695%
mal,3,0.294695%
malas,2,0.196464%
marcha,1,0.098232%
marchado,1,0.098232%
matar,2,0.196464%
mañanas,1,0.098232%
me,26,2.554028%
