Palabra, veces usada, porcentaje
a,23,2.115915%
abrume,1,0.091996%
acepten,1,0.091996%
acera,1,0.091996%
aclarar,1,0.091996%
Además,2,0.183993%
adversario,1,0.091996%
ah,1,0.091996%
ahoga,1,0.091996%
ahora,6,0.551978%
ahí,1,0.091996%
aire,2,0.183993%
ajá,1,0.091996%
al,5,0.459982%
algo,3,0.275989%
aliviado,1,0.091996%
allá,1,0.091996%
alma,1,0.091996%
almas,1,0.091996%
amamos,1,0.091996%
amor,2,0.183993%
apareció,1,0.091996%
aprendí,1,0.091996%
aquel,1,0.091996%
aquí,2,0.183993%
Arafat,1,0.091996%
arrechera,1,0.091996%
arte,1,0.091996%
asesino,1,0.091996%
asombró,1,0.091996%
así,1,0.091996%
ateo,1,0.091996%
atreves,1,0.091996%
atrás,1,0.091996%
Aun,1,0.091996%
aunque,2,0.183993%
avergonzarte,1,0.091996%
azufre,1,0.091996%
Aún,1,0.091996%
balas,2,0.183993%
barco,2,0.183993%
bass,1,0.091996%
bastardo,1,0.091996%
Beethoven,1,0.091996%
bicha,2,0.183993%
bien,1,0.091996%
Bolívar,1,0.091996%
brazo,1,0.091996%
Buda,1,0.091996%
buena,1,0.091996%
buenas,1,0.091996%
bum,1,0.091996%
burlaban,1,0.091996%
cagan,1,0.091996%
caigo,1,0.091996%
calcina,1,0.091996%
calma,1,0.091996%
canciones,1,0.091996%
candela,1,0.091996%
canto,1,0.091996%
Carlos,2,0.183993%
castellano,1,0.091996%
castigo,1,0.091996%
castigos,1,0.091996%
cayendo,1,0.091996%
caí,1,0.091996%
Cerbero,1,0.091996%
Charles,1,0.091996%
chola,1,0.091996%
Ché,1,0.091996%
cien,1,0.091996%
clave,1,0.091996%
cojea,1,0.091996%
Colón,1,0.091996%
combate,1,0.091996%
comerciantes,1,0.091996%
como,7,0.643974%
complicada,1,0.091996%
comprendes,1,0.091996%
compuesto,1,0.091996%
comunes,1,0.091996%
con,14,1.287948%
confuso,1,0.091996%
conmigo,1,0.091996%
conmovido,1,0.091996%
conocidos,1,0.091996%
conozco,1,0.091996%
consume,2,0.183993%
contigo,1,0.091996%
contradicciones,1,0.091996%
contrario,1,0.091996%
convertirme,1,0.091996%
convierta,1,0.091996%
corazón,5,0.459982%
correr,2,0.183993%
cosas,1,0.091996%
crean,1,0.091996%
creer,1,0.091996%
creo,1,0.091996%
criado,1,0.091996%
criminal,1,0.091996%
Cristo,2,0.183993%
Cristóbal,1,0.091996%
cual,2,0.183993%
cuando,2,0.183993%
cuento,1,0.091996%
cuerpo,2,0.183993%
Cuerpos,1,0.091996%
cumplir,1,0.091996%
César,1,0.091996%
círculos,1,0.091996%
Cómo,3,0.275989%
daga,1,0.091996%
Dalai,1,0.091996%
de,28,2.575897%
deber,1,0.091996%
deberías,1,0.091996%
Debo,2,0.183993%
decidiría,1,0.091996%
deformados,1,0.091996%
dejaré,1,0.091996%
del,1,0.091996%
demasiadas,1,0.091996%
demasiados,1,0.091996%
dentro,1,0.091996%
desahogar,1,0.091996%
descargo,1,0.091996%
desnuda,1,0.091996%
desperté,1,0.091996%
Diablo,1,0.091996%
dice,1,0.091996%
Diente,2,0.183993%
difuntos,1,0.091996%
dije,1,0.091996%
dijeron,1,0.091996%
dijo,2,0.183993%
dio,1,0.091996%
Dios,4,0.367985%
distinto,1,0.091996%
Domino,1,0.091996%
don,1,0.091996%
donde,4,0.367985%
droga,1,0.091996%
Dudar,1,0.091996%
dudas,1,0.091996%
dudo,1,0.091996%
durante,1,0.091996%
día,1,0.091996%
dónde,1,0.091996%
echó,1,0.091996%
el,23,2.115915%
empezaba,1,0.091996%
empresa,1,0.091996%
en,24,2.207912%
encontraba,1,0.091996%
engañas,1,0.091996%
entendía,1,0.091996%
entiendes,1,0.091996%
entre,1,0.091996%
eran,1,0.091996%
Eres,3,0.275989%
es,17,1.563937%
esa,1,0.091996%
escampa,1,0.091996%
Escucho,2,0.183993%
escuché,1,0.091996%
escupe,1,0.091996%
ese,1,0.091996%
esos,1,0.091996%
esperaban,1,0.091996%
esta,1,0.091996%
estaban,2,0.183993%
este,3,0.275989%
esto,1,0.091996%
estoy,1,0.091996%
estrado,1,0.091996%
estuvieran,1,0.091996%
están,1,0.091996%
eternidad,1,0.091996%
existe,1,0.091996%
Existía,1,0.091996%
explicar,1,0.091996%
explico,1,0.091996%
ey,1,0.091996%
factor,1,0.091996%
falta,2,0.183993%
Florentino,1,0.091996%
fondo,1,0.091996%
forma,1,0.091996%
frío,3,0.275989%
fue,4,0.367985%
fuego,3,0.275989%
fueron,1,0.091996%
fui,1,0.091996%
ganar,1,0.091996%
Gandhi,1,0.091996%
gente,2,0.183993%
gobernar,1,0.091996%
golpeaban,1,0.091996%
golpeado,1,0.091996%
grave,2,0.183993%
grita,2,0.183993%
gritando,1,0.091996%
grito,1,0.091996%
Guevara,1,0.091996%
gusta,1,0.091996%
hablando,1,0.091996%
hablar,2,0.183993%
habrán,1,0.091996%
había,4,0.367985%
hacer,1,0.091996%
hacia,1,0.091996%
halaron,1,0.091996%
hallar,1,0.091996%
hampa,1,0.091996%
harían,1,0.091996%
has,3,0.275989%
Hasta,3,0.275989%
hay,1,0.091996%
he,3,0.275989%
heces,1,0.091996%
hermano,2,0.183993%
historia,1,0.091996%
homenaje,1,0.091996%
homo,1,0.091996%
hora,1,0.091996%
Hoy,4,0.367985%
huelido,1,0.091996%
huir,1,0.091996%
humanos,1,0.091996%
idiomas,1,0.091996%
ido,1,0.091996%
iglesia,1,0.091996%
II,1,0.091996%
imitador,1,0.091996%
implora,1,0.091996%
improvisación,1,0.091996%
incluso,3,0.275989%
infierno,3,0.275989%
Inglaterra,1,0.091996%
insisto,1,0.091996%
insultos,1,0.091996%
inteligente,1,0.091996%
ir,1,0.091996%
irme,1,0.091996%
Irónica,2,0.183993%
Isabel,1,0.091996%
ja,1,0.091996%
jefe,1,0.091996%
John,1,0.091996%
Joseph,2,0.183993%
José,1,0.091996%
Juan,1,0.091996%
juntos,1,0.091996%
jurado,1,0.091996%
juré,1,0.091996%
justo,1,0.091996%
Kennedy,1,0.091996%
la,19,1.747930%
lado,2,0.183993%
Lamas,1,0.091996%
las,3,0.275989%
le,4,0.367985%
Lenin,1,0.091996%
leyenda,1,0.091996%
literalmente,1,0.091996%
llama,1,0.091996%
llamas,1,0.091996%
llevo,1,0.091996%
llevó,1,0.091996%
Lloro,1,0.091996%
lo,11,1.011960%
los,10,0.919963%
lucían,1,0.091996%
luz,1,0.091996%
Mahoma,1,0.091996%
majestuosa,1,0.091996%
Makonnen,1,0.091996%
malandros,1,0.091996%
maldecirme,1,0.091996%
maldigo,1,0.091996%
maldito,1,0.091996%
malos,2,0.183993%
malvados,1,0.091996%
manera,1,0.091996%
Mao,1,0.091996%
Martín,1,0.091996%
masacra,1,0.091996%
mataron,1,0.091996%
mataré,1,0.091996%
mató,1,0.091996%
me,22,2.023919%
mediocre,1,0.091996%
memoria,1,0.091996%
menos,1,0.091996%
mentido,1,0.091996%
mentira,1,0.091996%
meses,1,0.091996%
mi,12,1.103956%
miedos,2,0.183993%
mientras,2,0.183993%
mierda,1,0.091996%
misma,1,0.091996%
modos,1,0.091996%
momento,1,0.091996%
Montañas,1,0.091996%
montón,1,0.091996%
morderme,1,0.091996%
moto,1,0.091996%
muchas,1,0.091996%
mucho,1,0.091996%
muchos,2,0.183993%
muerte,2,0.183993%
muerto,1,0.091996%
mueve,1,0.091996%
mundo,2,0.183993%
muy,3,0.275989%
más,9,0.827967%
mí,1,0.091996%
mío,3,0.275989%
múltiples,1,0.091996%
na,1,0.091996%
nacido,1,0.091996%
nació,1,0.091996%
nada,4,0.367985%
nadie,2,0.183993%
Napoleón,1,0.091996%
necesario,1,0.091996%
negras,1,0.091996%
no,25,2.299908%
nombre,1,0.091996%
nosotros,1,0.091996%
noté,1,0.091996%
nuevo,1,0.091996%
Nunca,2,0.183993%
o,2,0.183993%
Obama,1,0.091996%
Obviamente,1,0.091996%
odio,2,0.183993%
Oh,2,0.183993%
ojo,2,0.183993%
ojos,1,0.091996%
olor,2,0.183993%
olvidas,1,0.091996%
os,1,0.091996%
Otros,1,0.091996%
Pa,2,0.183993%
Pablo,1,0.091996%
pacaum,7,0.643974%
padre,2,0.183993%
Para,5,0.459982%
pasa,1,0.091996%
patas,1,0.091996%
paz,1,0.091996%
peculiar,1,0.091996%
Pelo,1,0.091996%
pensamientos,1,0.091996%
pensé,2,0.183993%
peor,1,0.091996%
Perder,1,0.091996%
perfume,1,0.091996%
Pero,9,0.827967%
perra,1,0.091996%
persona,1,0.091996%
Personas,1,0.091996%
picá,1,0.091996%
piedra,1,0.091996%
Pierde,1,0.091996%
pierdes,1,0.091996%
pistola,1,0.091996%
pobre,1,0.091996%
podía,1,0.091996%
por,10,0.919963%
porque,11,1.011960%
pregunté,1,0.091996%
prestada,1,0.091996%
Presuntos,1,0.091996%
profundo,2,0.183993%
pude,2,0.183993%
puedes,3,0.275989%
que,48,4.415823%
quemarás,1,0.091996%
Qué,1,0.091996%
rabia,2,0.183993%
rapero,1,0.091996%
razón,1,0.091996%
recalcarte,1,0.091996%
Recitando,1,0.091996%
Recordé,1,0.091996%
Recuerdo,2,0.183993%
recónditos,1,0.091996%
respondían,1,0.091996%
retarme,1,0.091996%
