Palabra, veces usada, porcentaje
a,2,1.724138%
Bésame,12,10.344828%
cerca,2,1.724138%
Como,3,2.586207%
de,2,1.724138%
después,4,3.448276%
en,2,1.724138%
esta,3,2.586207%
estaré,2,1.724138%
fuera,3,2.586207%
junto,2,1.724138%
La,3,2.586207%
lejos,4,3.448276%
mañana,2,1.724138%
miedo,4,3.448276%
Mirarme,2,1.724138%
mucho,6,5.172414%
muy,4,3.448276%
mí,2,1.724138%
noche,3,2.586207%
ojos,2,1.724138%
perderte,8,6.896552%
Piensa,2,1.724138%
Que,6,5.172414%
Quiero,2,1.724138%
si,3,2.586207%
tal,2,1.724138%
tenerte,2,1.724138%
tengo,4,3.448276%
ti,2,1.724138%
tus,2,1.724138%
Verte,2,1.724138%
vez,5,4.310345%
ya,2,1.724138%
Yo,2,1.724138%
última,3,2.586207%
Total de palabras unicas usadas: 36
Total de palabras (repetidas): 116
Porcentaje de vocabulario distinto: 31.034481
