Palabra, veces usada, porcentaje
a,2,1.036269%
Adiós,4,2.072539%
ahí,1,0.518135%
amas,1,0.518135%
amor,6,3.108808%
ante,2,1.036269%
así,1,0.518135%
atrás,2,1.036269%
caso,1,0.518135%
Como,2,1.036269%
continuar,1,0.518135%
creer,2,1.036269%
Cuanto,2,1.036269%
de,6,3.108808%
Desde,2,1.036269%
dijiste,2,1.036269%
Dios,2,1.036269%
duele,2,1.036269%
El,2,1.036269%
eres,3,1.554404%
es,3,1.554404%
esta,2,1.036269%
fallaste,4,2.072539%
fatal,2,1.036269%
feliz,1,0.518135%
fui,2,1.036269%
hace,2,1.036269%
hiciste,2,1.036269%
igual,2,1.036269%
iré,2,1.036269%
jurar,2,1.036269%
la,2,1.036269%
Lo,4,2.072539%
mal,2,1.036269%
marcha,2,1.036269%
me,17,8.808290%
mejor,1,0.518135%
mentir,1,0.518135%
mi,3,1.554404%
mirada,1,0.518135%
Miro,1,0.518135%
misma,2,1.036269%
nada,2,1.036269%
no,6,3.108808%
nos,1,0.518135%
ojos,1,0.518135%
olvidarte,2,1.036269%
para,2,1.036269%
partir,1,0.518135%
perderte,2,1.036269%
podia,1,0.518135%
podría,1,0.518135%
porque,6,3.108808%
quiero,2,1.036269%
quise,2,1.036269%
reina,1,0.518135%
resignare,1,0.518135%
resignaré,1,0.518135%
sabe,1,0.518135%
sería,2,1.036269%
Si,1,0.518135%
siempre,2,1.036269%
sin,2,1.036269%
te,6,3.108808%
ti,4,2.072539%
tiempo,2,1.036269%
tiene,1,0.518135%
todavía,2,1.036269%
tratas,2,1.036269%
tu,3,1.554404%
tus,1,0.518135%
una,2,1.036269%
vemos,1,0.518135%
vez,4,2.072539%
vida,2,1.036269%
voy,2,1.036269%
y,11,5.699482%
ya,2,1.036269%
Yo,2,1.036269%
Total de palabras unicas usadas: 79
Total de palabras (repetidas): 193
Porcentaje de vocabulario distinto: 40.932644
