Palabra, veces usada, porcentaje
a,29,1.890482%
abajo,1,0.065189%
absoluta,1,0.065189%
abuela,1,0.065189%
acaba,2,0.130378%
acuerdo,2,0.130378%
adicto,1,0.065189%
aguantar,1,0.065189%
ah,3,0.195567%
ahora,3,0.195567%
al,11,0.717080%
alfombra,1,0.065189%
algo,2,0.130378%
algún,1,0.065189%
alta,2,0.130378%
AMG,1,0.065189%
amor,3,0.195567%
andinos,1,0.065189%
anotándolos,1,0.065189%
antes,34,2.216428%
aplasta,1,0.065189%
aprueba,1,0.065189%
apuntan,1,0.065189%
aquí,2,0.130378%
Argentina,1,0.065189%
argentino,1,0.065189%
artista,1,0.065189%
autopista,1,0.065189%
avión,2,0.130378%
año,2,0.130378%
años,1,0.065189%
bajé,2,0.130378%
balas,1,0.065189%
Ballin,1,0.065189%
banda,1,0.065189%
barco,2,0.130378%
barra,1,0.065189%
basta,1,0.065189%
Bentley,1,0.065189%
Benz,1,0.065189%
bestia,1,0.065189%
bien,5,0.325945%
bloqueando,1,0.065189%
borracho,1,0.065189%
borrar,1,0.065189%
buen,1,0.065189%
buena,2,0.130378%
bueno,1,0.065189%
busca,2,0.130378%
Bush,2,0.130378%
cabrón,4,0.260756%
cada,2,0.130378%
calla,2,0.130378%
callao,2,0.130378%
calma,1,0.065189%
cama,2,0.130378%
cambien,1,0.065189%
camino,2,0.130378%
camisa,1,0.065189%
campeón,1,0.065189%
canasta,1,0.065189%
cancela,2,0.130378%
canto,1,0.065189%
cara,3,0.195567%
cartera,1,0.065189%
casar,2,0.130378%
casta,1,0.065189%
cero,1,0.065189%
chaleco,1,0.065189%
cheque,1,0.065189%
chica,1,0.065189%
chico,1,0.065189%
chocolate,1,0.065189%
Christian,1,0.065189%
cielo,7,0.456323%
cien,2,0.130378%
ciento,12,0.782269%
cierto,3,0.195567%
cinco,5,0.325945%
club,1,0.065189%
cobra,1,0.065189%
comen,1,0.065189%
como,11,0.717080%
compré,1,0.065189%
compás,1,0.065189%
con,7,0.456323%
conmigo,1,0.065189%
Contigo,4,0.260756%
contrato,2,0.130378%
correcto,3,0.195567%
corren,1,0.065189%
corriendo,2,0.130378%
creído,1,0.065189%
Cristiano,1,0.065189%
cronista,1,0.065189%
cuartao,1,0.065189%
Cuenta,1,0.065189%
cuerpo,1,0.065189%
culo,2,0.130378%
cup,1,0.065189%
cupido,1,0.065189%
customizada,1,0.065189%
da,2,0.130378%
Dallas,1,0.065189%
dar,1,0.065189%
De,56,3.650587%
deal,2,0.130378%
dejarlo,1,0.065189%
dejes,1,0.065189%
del,7,0.456323%
deporte,1,0.065189%
descansar,1,0.065189%
desde,3,0.195567%
después,2,0.130378%
destino,1,0.065189%
detrás,1,0.065189%
di,1,0.065189%
diamante,1,0.065189%
dicen,2,0.130378%
diciéndome,1,0.065189%
Diez,1,0.065189%
difunta,1,0.065189%
dijo,2,0.130378%
Dior,1,0.065189%
disco,1,0.065189%
disfruta,1,0.065189%
dolor,1,0.065189%
Don,1,0.065189%
Donda,1,0.065189%
dorado,1,0.065189%
dos,1,0.065189%
double,1,0.065189%
doy,1,0.065189%
Duko,1,0.065189%
día,7,0.456323%
Dólares,1,0.065189%
e,2,0.130378%
efe,1,0.065189%
eh,2,0.130378%
el,38,2.477184%
eligió,2,0.130378%
Ella,1,0.065189%
En,21,1.368970%
enemigo,1,0.065189%
enferme,1,0.065189%
entere,2,0.130378%
entienden,2,0.130378%
entre,1,0.065189%
entrevista,1,0.065189%
Entro,1,0.065189%
entérate,2,0.130378%
equipo,1,0.065189%
ere,2,0.130378%
erro,1,0.065189%
Es,7,0.456323%
esa,6,0.391134%
esas,1,0.065189%
escribo,1,0.065189%
escuchan,1,0.065189%
escuchar,3,0.195567%
ese,3,0.195567%
esfuerzo,1,0.065189%
eso,1,0.065189%
España,1,0.065189%
esperan,1,0.065189%
esperar,1,0.065189%
espero,1,0.065189%
espérame,1,0.065189%
esta,2,0.130378%
estaba,1,0.065189%
Estados,1,0.065189%
este,1,0.065189%
estilo,1,0.065189%
esto,3,0.195567%
estoy,9,0.586701%
estudio,1,0.065189%
está,6,0.391134%
Estábamo,1,0.065189%
Estás,2,0.130378%
exacto,2,0.130378%
exagero,1,0.065189%
Explotamo,2,0.130378%
exporte,1,0.065189%
extranjero,1,0.065189%
exótico,4,0.260756%
fe,1,0.065189%
Fi,4,0.260756%
fin,2,0.130378%
fine,4,0.260756%
five,4,0.260756%
flores,1,0.065189%
flush,2,0.130378%
follarte,1,0.065189%
fresco,1,0.065189%
friendly,1,0.065189%
frontear,1,0.065189%
Fuck,2,0.130378%
fue,1,0.065189%
fuerte,1,0.065189%
fui,2,0.130378%
fuiste,5,0.325945%
Fumamos,1,0.065189%
funda,1,0.065189%
funeral,1,0.065189%
futuro,1,0.065189%
gana,3,0.195567%
Gano,2,0.130378%
gasta,1,0.065189%
gasto,2,0.130378%
gasté,1,0.065189%
Ginóbili,1,0.065189%
gitana,1,0.065189%
Givenchy,1,0.065189%
Gohan,1,0.065189%
gramo,1,0.065189%
gusta,3,0.195567%
gustan,3,0.195567%
gusto,1,0.065189%
hablando,1,0.065189%
había,2,0.130378%
hace,1,0.065189%
hacer,7,0.456323%
hacerlo,1,0.065189%
haciendo,3,0.195567%
hacía,1,0.065189%
hacíamo,1,0.065189%
Hago,1,0.065189%
Hagámoslo,4,0.260756%
hasta,3,0.195567%
hater,1,0.065189%
hecha,2,0.130378%
Hice,1,0.065189%
hiciste,1,0.065189%
hijo,1,0.065189%
hotel,1,0.065189%
humo,2,0.130378%
hunde,2,0.130378%
i,1,0.065189%
iba,1,0.065189%
irme,1,0.065189%
irte,1,0.065189%
Italia,1,0.065189%
italiano,2,0.130378%
jefe,1,0.065189%
joda,1,0.065189%
jodo,2,0.130378%
Jordan,1,0.065189%
jugar,1,0.065189%
Kanye,1,0.065189%
kilo,1,0.065189%
know,1,0.065189%
KO,1,0.065189%
Konoha,1,0.065189%
kush,1,0.065189%
la,30,1.955671%
labio,2,0.130378%
lamento,3,0.195567%
las,7,0.456323%
Le,12,0.782269%
lealtad,2,0.130378%
LeBron,1,0.065189%
liga,2,0.130378%
lista,1,0.065189%
llama,2,0.130378%
llegabámo,1,0.065189%
Llego,1,0.065189%
