Palabra, veces usada, porcentaje
a,1,0.354610%
Acércate,2,0.709220%
aire,1,0.354610%
al,2,0.709220%
alma,2,0.709220%
anhelo,1,0.354610%
besa,10,3.546099%
besarte,1,0.354610%
besas,1,0.354610%
beso,9,3.191489%
besos,2,0.709220%
Besándome,8,2.836879%
bien,1,0.354610%
boca,1,0.354610%
bésame,19,6.737588%
ca,1,0.354610%
cabe,1,0.354610%
calma,2,0.709220%
cariñosamente,1,0.354610%
Comienzo,1,0.354610%
con,2,0.709220%
cosa,1,0.354610%
Cuando,2,0.709220%
Dame,5,1.773050%
dan,1,0.354610%
De,2,0.709220%
despacito,1,0.354610%
despegas,1,0.354610%
despierto,1,0.354610%
digo,1,0.354610%
dulcemente,1,0.354610%
Dámelo,1,0.354610%
el,1,0.354610%
en,2,0.709220%
encuentro,1,0.354610%
es,2,0.709220%
escaparme,1,0.354610%
ese,2,0.709220%
eso,1,0.354610%
hondo,1,0.354610%
labios,9,3.191489%
llegue,2,0.709220%
lo,3,1.063830%
me,8,2.836879%
mi,1,0.354610%
miedo,1,0.354610%
mucho,1,0.354610%
más,1,0.354610%
no,2,0.709220%
otra,9,3.191489%
otro,2,0.709220%
pa,1,0.354610%
Pequeña,1,0.354610%
poquito,2,0.709220%
Por,1,0.354610%
pregunto,1,0.354610%
preso,1,0.354610%
prisa,2,0.709220%
profundo,1,0.354610%
Que,15,5.319149%
quiero,10,3.546099%
ratito,2,0.709220%
rico,1,0.354610%
secreto,1,0.354610%
sentir,8,2.836879%
si,1,0.354610%
siento,2,0.709220%
Sin,2,0.709220%
Solamente,1,0.354610%
Suave,31,10.992908%
suavecito,1,0.354610%
Suavemente,7,2.482270%
sueño,1,0.354610%
te,3,1.063830%
tengas,1,0.354610%
tienen,2,0.709220%
tiernamente,1,0.354610%
trato,1,0.354610%
tus,11,3.900709%
tuyo,1,0.354610%
tú,1,0.354610%
un,9,3.191489%
Una,1,0.354610%
veo,1,0.354610%
vez,9,3.191489%
Y,6,2.127660%
Yo,5,1.773050%
échate,1,0.354610%
Total de palabras unicas usadas: 88
Total de palabras (repetidas): 282
Porcentaje de vocabulario distinto: 31.205675
