Palabra, veces usada, porcentaje
a,1,1.010101%
adoro,2,2.020202%
amo,2,2.020202%
amor,1,1.010101%
anhelo,2,2.020202%
bésame,1,1.010101%
canción,2,2.020202%
cantar,2,2.020202%
con,2,2.020202%
corazón,2,2.020202%
cómo,1,1.010101%
Déjame,4,4.040404%
En,8,8.080808%
entre,1,1.010101%
Eres,2,2.020202%
es,1,1.010101%
estrellas,1,1.010101%
favor,2,2.020202%
jugar,1,1.010101%
Júpiter,1,1.010101%
la,2,2.020202%
las,1,1.010101%
Llena,2,2.020202%
Llévame,1,1.010101%
lo,4,4.040404%
Luna,1,1.010101%
mano,1,1.010101%
Marte,1,1.010101%
mi,4,4.040404%
otras,7,7.070707%
palabras,7,7.070707%
por,4,4.040404%
primavera,1,1.010101%
que,4,4.040404%
real,2,2.020202%
siempre,2,2.020202%
Sostén,1,1.010101%
sé,2,2.020202%
Te,2,2.020202%
todo,4,4.040404%
venero,2,2.020202%
ver,1,1.010101%
y,4,4.040404%
Total de palabras unicas usadas: 43
Total de palabras (repetidas): 99
Porcentaje de vocabulario distinto: 43.434341
