Palabra, veces usada, porcentaje
A,17,4.392765%
Acabando,1,0.258398%
Acordeón,1,0.258398%
Aguardiente,1,0.258398%
Ahi,3,0.775194%
Ahora,3,0.775194%
Alegría,1,0.258398%
Amanecer,1,0.258398%
Aprende,1,0.258398%
Aqui,2,0.516796%
Arranca,2,0.516796%
Arrancó,1,0.258398%
Así,1,0.258398%
Ave,1,0.258398%
Baila,4,1.033592%
Bailando,1,0.258398%
Bailar,2,0.516796%
barceló,1,0.258398%
Barreras,1,0.258398%
Bastante,1,0.258398%
Beben,1,0.258398%
Bien,3,0.775194%
Body,1,0.258398%
Brillo,1,0.258398%
Brindo,1,0.258398%
Buena,4,1.033592%
Bulla,4,1.033592%
Calientita,1,0.258398%
Cantele,1,0.258398%
Caribeños,1,0.258398%
Cepilla,2,0.516796%
Chequea,1,0.258398%
chin,1,0.258398%
Chocando,1,0.258398%
Cierto,1,0.258398%
Como,2,0.516796%
Con,11,2.842377%
Coro,1,0.258398%
Corriente,2,0.516796%
Cosa,2,0.516796%
Cuerpo,2,0.516796%
De,8,2.067183%
Dejalo,1,0.258398%
del,1,0.258398%
Derecho,1,0.258398%
Descubrió,1,0.258398%
Desorden,1,0.258398%
Despues,1,0.258398%
Dijo,1,0.258398%
Dominicana,1,0.258398%
Donde,2,0.516796%
E,1,0.258398%
El,16,4.134367%
En,3,0.775194%
enpiqui,1,0.258398%
Entera,1,0.258398%
Es,3,0.775194%
Eso,1,0.258398%
Esta,2,0.516796%
Este,1,0.258398%
Estilo,1,0.258398%
Everybody,1,0.258398%
Exigió,1,0.258398%
Fiesta,2,0.516796%
Fondo,1,0.258398%
Forma,1,0.258398%
Francamente,1,0.258398%
Fue,1,0.258398%
Fuerte,1,0.258398%
Fulano,1,0.258398%
Gente,2,0.516796%
Get,1,0.258398%
Goza,5,1.291990%
Gozadera,7,1.808785%
Gozando,1,0.258398%
Gozar,3,0.775194%
Gualla,2,0.516796%
Guallalo,1,0.258398%
Guallando,1,0.258398%
Hace,1,0.258398%
Hagan,3,0.775194%
Hasta,1,0.258398%
Hay,1,0.258398%
Haz,1,0.258398%
Hembras,1,0.258398%
Here,1,0.258398%
Hijo,1,0.258398%
Huye,1,0.258398%
Indios,1,0.258398%
Joya,1,0.258398%
Juntos,1,0.258398%
La,16,4.134367%
Lante,1,0.258398%
Las,1,0.258398%
Latin,1,0.258398%
Latina,1,0.258398%
Latino,1,0.258398%
Le,1,0.258398%
Lentes,1,0.258398%
Levante,1,0.258398%
Llaman,1,0.258398%
Llegó,2,0.516796%
Lo,5,1.291990%
Los,1,0.258398%
Magia,1,0.258398%
Mami,2,0.516796%
Manera,1,0.258398%
Mano,1,0.258398%
Maravillosa,1,0.258398%
Martillo,1,0.258398%
María,1,0.258398%
Me,2,0.516796%
Meneíto,2,0.516796%
Merengueao,1,0.258398%
Mi,2,0.516796%
Mira,3,0.775194%
Mojando,1,0.258398%
Montaña,1,0.258398%
Move,1,0.258398%
Moviendo,3,0.775194%
Mucha,1,0.258398%
Mucho,2,0.516796%
Mujeres,1,0.258398%
Mundo,1,0.258398%
Mía,2,0.516796%
Negro,1,0.258398%
Nena,1,0.258398%
No,3,0.775194%
Noche,1,0.258398%
o,5,1.291990%
Of,1,0.258398%
Ombliguito,2,0.516796%
Otra,1,0.258398%
Out,3,0.775194%
Oye,1,0.258398%
Pa,2,0.516796%
Papi,1,0.258398%
Par,1,0.258398%
Pararse,1,0.258398%
Parrandear,1,0.258398%
Party,1,0.258398%
Pasó,2,0.516796%
Patria,1,0.258398%
Pecho,2,0.516796%
Pegadito,1,0.258398%
Pegando,1,0.258398%
Pena,1,0.258398%
Pierdas,1,0.258398%
Pone,1,0.258398%
Por,2,0.516796%
Presidente,1,0.258398%
Propulsó,1,0.258398%
Pueblo,1,0.258398%
Puedes,1,0.258398%
Que,12,3.100775%
Quedar,2,0.516796%
Quieras,1,0.258398%
Quiero,1,0.258398%
Quisqueya,1,0.258398%
reach,2,0.516796%
Repente,1,0.258398%
Ripea,1,0.258398%
Ritmo,1,0.258398%
Ropa,1,0.258398%
Saben,1,0.258398%
Se,3,0.775194%
Siempre,1,0.258398%
Sigan,1,0.258398%
Sigue,4,1.033592%
Sin,2,0.516796%
Soy,1,0.258398%
Su,3,0.775194%
Swing,8,2.067183%
Tal,1,0.258398%
Te,1,0.258398%
Tenga,1,0.258398%
Teniente,1,0.258398%
Tiemblas,1,0.258398%
Tienes,1,0.258398%
Tipo,1,0.258398%
Tocando,1,0.258398%
Total,7,1.808785%
Totalmente,1,0.258398%
Tu,3,0.775194%
Un,3,0.775194%
Una,2,0.516796%
Usté,1,0.258398%
Va,3,0.775194%
Vamo,6,1.550388%
Verme,1,0.258398%
Verte,1,0.258398%
Vez,1,0.258398%
Vo,2,0.516796%
Vuelta,1,0.258398%
Vámono,2,0.516796%
Weekend,1,0.258398%
Y,2,0.516796%
Yo,3,0.775194%
Your,1,0.258398%
Total de palabras unicas usadas: 199
Total de palabras (repetidas): 387
Porcentaje de vocabulario distinto: 51.421188
