Palabra, veces usada, porcentaje
a,4,2.666667%
Aquí,1,0.666667%
Así,1,0.666667%
bebé,7,4.666667%
buscando,2,1.333333%
calle,6,4.000000%
caminaba,2,1.333333%
cielo,5,3.333333%
corazón,1,0.666667%
dolió,1,0.666667%
dónde,2,1.333333%
El,5,3.333333%
ella,2,1.333333%
era,1,0.666667%
es,1,0.666667%
estado,2,1.333333%
estar,1,0.666667%
estará,1,0.666667%
está,5,3.333333%
He,2,1.333333%
Hizo,1,0.666667%
la,6,4.000000%
las,5,3.333333%
latido,1,0.666667%
llorando,5,3.333333%
lo,1,0.666667%
lágrimas,5,3.333333%
mala,4,2.666667%
mañana,2,1.333333%
Me,5,3.333333%
mi,9,6.000000%
Mira,5,3.333333%
mí,1,0.666667%
nariz,1,0.666667%
no,3,2.000000%
para,1,0.666667%
pobre,1,0.666667%
por,7,4.666667%
pregunto,2,1.333333%
puede,1,0.666667%
que,2,1.333333%
quiere,2,1.333333%
rodando,5,3.333333%
Sabes,1,0.666667%
salte,1,0.666667%
sensación,2,1.333333%
Sí,2,1.333333%
tanto,1,0.666667%
Tengo,2,1.333333%
tocarlo,1,0.666667%
un,1,0.666667%
una,4,2.666667%
vamos,1,0.666667%
Vi,2,1.333333%
Woh,1,0.666667%
Y,2,1.333333%
ya,2,1.333333%
Total de palabras unicas usadas: 57
Total de palabras (repetidas): 150
Porcentaje de vocabulario distinto: 38.000000
