Palabra, veces usada, porcentaje
alma,4,2.631579%
amado,2,1.315789%
ambicione,2,1.315789%
amor,4,2.631579%
buscaba,2,1.315789%
cariño,2,1.315789%
caro,2,1.315789%
como,2,1.315789%
Con,2,1.315789%
Cual,2,1.315789%
Cuanto,2,1.315789%
Cuesta,2,1.315789%
de,10,6.578948%
delirio,2,1.315789%
doliera,2,1.315789%
el,4,2.631579%
en,2,1.315789%
error,2,1.315789%
es,2,1.315789%
escapa,2,1.315789%
espinas,2,1.315789%
esta,2,1.315789%
estaba,4,2.631579%
experiencia,2,1.315789%
Fue,2,1.315789%
haberte,2,1.315789%
he,4,2.631579%
juguete,2,1.315789%
la,2,1.315789%
las,2,1.315789%
Lejos,4,2.631579%
llorando,2,1.315789%
llorar,2,1.315789%
manos,2,1.315789%
Mas,2,1.315789%
me,2,1.315789%
mi,6,3.947368%
niño,2,1.315789%
no,2,1.315789%
penitencia,2,1.315789%
pensar,4,2.631579%
que,10,6.578948%
resultas,2,1.315789%
rosal,4,2.631579%
Se,2,1.315789%
serias,2,1.315789%
tanto,2,1.315789%
tenido,2,1.315789%
tiempo,2,1.315789%
Tiene,2,1.315789%
todas,2,1.315789%
tu,4,2.631579%
Un,6,3.947368%
Y,2,1.315789%
Yo,2,1.315789%
Total de palabras unicas usadas: 55
Total de palabras (repetidas): 152
Porcentaje de vocabulario distinto: 36.184208
