Palabra, veces usada, porcentaje
A,2,0.740741%
Ahora,1,0.370370%
al,1,0.370370%
algo,1,0.370370%
amargo,1,0.370370%
amor,5,1.851852%
así,1,0.370370%
aventura,1,0.370370%
azul,2,0.740741%
brazos,1,0.370370%
brotan,3,1.111111%
calentó,2,0.740741%
cambia,1,0.370370%
caí,1,0.370370%
con,2,0.740741%
corazón,3,1.111111%
corriendo,1,0.370370%
culpa,1,0.370370%
Dame,1,0.370370%
de,13,4.814815%
dejó,1,0.370370%
del,3,1.111111%
desapareció,1,0.370370%
desilusión,1,0.370370%
dicho,1,0.370370%
dolor,1,0.370370%
eh,1,0.370370%
el,10,3.703704%
en,1,0.370370%
es,7,2.592592%
escapó,1,0.370370%
especial,1,0.370370%
existir,1,0.370370%
explicación,1,0.370370%
ey,3,1.111111%
felicidad,1,0.370370%
final,1,0.370370%
forma,1,0.370370%
frío,2,0.740741%
fue,2,0.740741%
fui,2,0.740741%
fácilmente,1,0.370370%
Gotas,11,4.074074%
gris,2,0.740741%
haberme,1,0.370370%
hay,3,1.111111%
huella,1,0.370370%
importó,1,0.370370%
La,3,1.111111%
le,1,0.370370%
llegó,2,0.740741%
llorando,1,0.370370%
lluvia,7,2.592592%
lo,1,0.370370%
Lágrimas,6,2.222222%
me,4,1.481481%
mente,1,0.370370%
mis,1,0.370370%
Mucho,1,0.370370%
mundo,1,0.370370%
máquina,1,0.370370%
mí,2,0.740741%
nada,1,0.370370%
no,18,6.666667%
nuestro,1,0.370370%
nunca,1,0.370370%
olvidar,1,0.370370%
Otoño,2,0.740741%
para,2,0.740741%
pasó,1,0.370370%
pienso,1,0.370370%
Poco,2,0.740741%
por,4,1.481481%
porque,3,1.111111%
Pudiste,1,0.370370%
que,18,6.666667%
quedando,1,0.370370%
quedó,1,0.370370%
quiero,2,0.740741%
quise,1,0.370370%
Quisiera,1,0.370370%
qué,3,1.111111%
recibí,1,0.370370%
redes,1,0.370370%
respiración,1,0.370370%
revés,1,0.370370%
rocío,7,2.592592%
saber,3,1.111111%
se,2,0.740741%
sentías,1,0.370370%
será,1,0.370370%
sin,3,1.111111%
sintiera,2,0.740741%
solo,1,0.370370%
su,2,0.740741%
sé,2,0.740741%
tal,1,0.370370%
te,1,0.370370%
temor,1,0.370370%
ti,3,1.111111%
tiene,1,0.370370%
toda,2,0.740741%
todo,1,0.370370%
trago,1,0.370370%
tu,1,0.370370%
tus,1,0.370370%
Un,1,0.370370%
Una,2,0.740741%
valor,1,0.370370%
Verano,2,0.740741%
verme,1,0.370370%
vez,1,0.370370%
vida,1,0.370370%
vienen,3,1.111111%
vivir,1,0.370370%
voló,1,0.370370%
y,3,1.111111%
ya,4,1.481481%
yo,4,1.481481%
Total de palabras unicas usadas: 119
Total de palabras (repetidas): 270
Porcentaje de vocabulario distinto: 44.074074
