Palabra, veces usada, porcentaje
amar,3,2.970297%
berdad,2,1.980198%
de,5,4.950495%
deje,3,2.970297%
del,1,0.990099%
echiso,3,2.970297%
el,1,0.990099%
en,5,4.950495%
envidia,3,2.970297%
gigante,8,7.920792%
hierro,2,1.980198%
lograra,3,2.970297%
Ni,6,5.940594%
paso,1,0.990099%
por,6,5.940594%
Pot,3,2.970297%
que,3,2.970297%
Soy,9,8.910892%
te,3,2.970297%
ti,9,8.910892%
un,10,9.900990%
una,3,2.970297%
vensera,3,2.970297%
verdad,3,2.970297%
yo,3,2.970297%
Total de palabras unicas usadas: 25
Total de palabras (repetidas): 101
Porcentaje de vocabulario distinto: 24.752476
