Palabra, veces usada, porcentaje
A,3,2.142857%
adiós,2,1.428571%
aguanté,1,0.714286%
algo,1,0.714286%
amar,1,0.714286%
amor,4,2.857143%
beso,1,0.714286%
bonito,1,0.714286%
cachito,1,0.714286%
cada,2,1.428571%
corazón,2,1.428571%
Cuando,1,0.714286%
De,8,5.714286%
Derecho,1,0.714286%
Dios,1,0.714286%
distancia,2,1.428571%
dos,2,1.428571%
Déjame,1,0.714286%
día,2,1.428571%
el,4,2.857143%
embargo,2,1.428571%
entre,2,1.428571%
Es,2,1.428571%
escuchar,2,1.428571%
está,2,1.428571%
grande,2,1.428571%
hayas,1,0.714286%
ido,1,0.714286%
La,3,2.142857%
lleves,1,0.714286%
lo,1,0.714286%
los,2,1.428571%
lágrima,1,0.714286%
mentiras,1,0.714286%
mi,3,2.142857%
muy,1,0.714286%
más,2,1.428571%
mí,1,0.714286%
nada,3,2.142857%
No,5,3.571429%
Pedazo,1,0.714286%
pelo,1,0.714286%
poquito,1,0.714286%
Por,1,0.714286%
Porque,2,1.428571%
Que,3,2.142857%
quedando,2,1.428571%
quiere,2,1.428571%
recordar,1,0.714286%
recuerdo,1,0.714286%
Recuérdame,1,0.714286%
resignarse,2,1.428571%
retirada,2,1.428571%
sea,2,1.428571%
Si,1,0.714286%
Sin,3,2.142857%
soledad,1,0.714286%
solo,1,0.714286%
soy,1,0.714286%
supe,1,0.714286%
te,4,2.857143%
tienes,1,0.714286%
todo,1,0.714286%
triste,2,1.428571%
tu,5,3.571429%
tuyo,2,1.428571%
un,3,2.142857%
Una,1,0.714286%
vida,1,0.714286%
voy,1,0.714286%
y,6,4.285715%
ya,2,1.428571%
yo,2,1.428571%
Total de palabras unicas usadas: 73
Total de palabras (repetidas): 140
Porcentaje de vocabulario distinto: 52.142860
