Palabra, veces usada, porcentaje
a,1,1.265823%
acechan,1,1.265823%
allá,1,1.265823%
aquellas,1,1.265823%
aquí,1,1.265823%
arrastra,1,1.265823%
ausencia,1,1.265823%
boleto,1,1.265823%
cajón,1,1.265823%
Como,2,2.531646%
cosas,1,1.265823%
cree,1,1.265823%
cuando,1,1.265823%
de,3,3.797468%
dejó,1,1.265823%
detrás,1,1.265823%
el,2,2.531646%
En,3,3.797468%
hacen,1,1.265823%
hojas,1,1.265823%
ida,1,1.265823%
la,2,2.531646%
ladrón,1,1.265823%
Lloremos,1,1.265823%
mató,1,1.265823%
merced,1,1.265823%
muertas,1,1.265823%
nadie,1,1.265823%
nos,4,5.063291%
O,2,2.531646%
papel,1,1.265823%
pequeñas,1,1.265823%
Pero,1,1.265823%
puerta,1,1.265823%
Que,5,6.329114%
rincón,1,1.265823%
rosas,1,1.265823%
se,1,1.265823%
Son,1,1.265823%
sonríen,1,1.265823%
su,2,2.531646%
tan,1,1.265823%
Te,3,3.797468%
tiempo,2,2.531646%
tienen,1,1.265823%
tren,1,1.265823%
tristes,1,1.265823%
un,5,6.329114%
Uno,1,1.265823%
ve,1,1.265823%
Vendió,1,1.265823%
viento,1,1.265823%
vuelta,1,1.265823%
y,3,3.797468%
Total de palabras unicas usadas: 54
Total de palabras (repetidas): 79
Porcentaje de vocabulario distinto: 68.354431
