Palabra, veces usada, porcentaje
A,2,1.242236%
alejo,1,0.621118%
aliento,3,1.863354%
alter,1,0.621118%
amor,1,0.621118%
Atendiendo,1,0.621118%
Aunque,1,0.621118%
besos,3,1.863354%
Con,1,0.621118%
conocí,3,1.863354%
corazón,1,0.621118%
cuerpo,3,1.863354%
de,10,6.211180%
dejo,1,0.621118%
dentro,3,1.863354%
ego,1,0.621118%
el,7,4.347826%
en,3,1.863354%
eres,1,0.621118%
eso,1,0.621118%
estoy,1,0.621118%
felicidad,1,0.621118%
Hiriendo,1,0.621118%
hizo,3,1.863354%
iré,1,0.621118%
llevo,6,3.726708%
marcho,1,0.621118%
Me,11,6.832298%
mi,5,3.105590%
mí,3,1.863354%
necesidad,1,0.621118%
No,2,1.242236%
ojos,3,1.863354%
olvide,2,1.242236%
orgullo,1,0.621118%
otro,1,0.621118%
parcho,1,0.621118%
Pero,4,2.484472%
petición,1,0.621118%
que,5,3.105590%
razón,1,0.621118%
respirar,3,1.863354%
Se,3,1.863354%
Seguro,1,0.621118%
sobre,3,1.863354%
sé,1,0.621118%
Tatuados,3,1.863354%
Tatuajes,3,1.863354%
Te,9,5.590062%
tiempo,6,3.726708%
todo,3,1.863354%
tu,5,3.105590%
tus,6,3.726708%
un,1,0.621118%
ver,3,1.863354%
vicio,3,1.863354%
voy,4,2.484472%
Víctima,1,0.621118%
Total de palabras unicas usadas: 58
Total de palabras (repetidas): 161
Porcentaje de vocabulario distinto: 36.024845
