Palabra, veces usada, porcentaje
a,3,2.255639%
afecto,1,0.751880%
amor,1,0.751880%
camina,1,0.751880%
Carioca,6,4.511278%
cielo,1,0.751880%
color,1,0.751880%
con,1,0.751880%
dar,1,0.751880%
de,5,3.759398%
demasiado,2,1.503759%
el,3,2.255639%
Ella,10,7.518796%
en,2,1.503759%
encontrar,1,0.751880%
es,13,9.774436%
estoy,2,1.503759%
forma,1,0.751880%
hermosa,2,1.503759%
La,8,6.015038%
Las,1,0.751880%
lo,4,3.007519%
loco,2,1.503759%
luna,1,0.751880%
luz,4,3.007519%
mar,1,0.751880%
me,1,0.751880%
mi,1,0.751880%
mirada,1,0.751880%
misma,1,0.751880%
mismo,2,1.503759%
más,2,1.503759%
mí,3,2.255639%
nadie,1,0.751880%
Ni,1,0.751880%
noches,1,0.751880%
ojos,2,1.503759%
para,5,3.759398%
paz,1,0.751880%
por,2,1.503759%
que,9,6.766918%
Río,1,0.751880%
soñé,1,0.751880%
sé,2,1.503759%
sólo,1,0.751880%
tanto,1,0.751880%
tiene,1,0.751880%
Todo,2,1.503759%
tu,1,0.751880%
tus,2,1.503759%
ve,1,0.751880%
Veo,4,3.007519%
vivió,1,0.751880%
Y,4,3.007519%
Total de palabras unicas usadas: 54
Total de palabras (repetidas): 133
Porcentaje de vocabulario distinto: 40.601505
