Palabra, veces usada, porcentaje
a,2,1.418440%
afuera,1,0.709220%
arriero,1,0.709220%
así,1,0.709220%
bien,1,0.709220%
camino,1,0.709220%
comprenda,2,1.418440%
Con,2,1.418440%
destino,1,0.709220%
dijo,1,0.709220%
dinero,4,2.836879%
Dirás,1,0.709220%
día,1,0.709220%
el,4,2.836879%
en,1,0.709220%
enseñó,1,0.709220%
Era,1,0.709220%
es,2,1.418440%
estar,1,0.709220%
estoy,1,0.709220%
hago,2,1.418440%
hay,2,1.418440%
la,2,1.418440%
ley,2,1.418440%
llegar,2,1.418440%
llorar,5,3.546099%
lo,2,1.418440%
me,6,4.255319%
mi,3,2.127660%
muera,1,0.709220%
muy,1,0.709220%
nadie,2,1.418440%
ni,4,2.836879%
no,4,2.836879%
palabra,2,1.418440%
Pero,5,3.546099%
piedra,1,0.709220%
primero,1,0.709220%
que,13,9.219858%
quedar,1,0.709220%
quiero,2,1.418440%
quisiste,1,0.709220%
reina,2,1.418440%
rey,2,1.418440%
rodar,6,4.255319%
saber,1,0.709220%
siempre,2,1.418440%
siendo,2,1.418440%
sigo,2,1.418440%
sin,2,1.418440%
sé,2,1.418440%
También,1,0.709220%
te,1,0.709220%
tendrás,1,0.709220%
tengo,2,1.418440%
triste,1,0.709220%
trono,2,1.418440%
un,1,0.709220%
Una,1,0.709220%
vas,2,1.418440%
y,10,7.092199%
Yo,4,2.836879%
Total de palabras unicas usadas: 62
Total de palabras (repetidas): 141
Porcentaje de vocabulario distinto: 43.971630
