Palabra, veces usada, porcentaje
a,4,2.453988%
al,2,1.226994%
altar,2,1.226994%
amor,8,4.907975%
aquel,1,0.613497%
así,2,1.226994%
atrás,1,0.613497%
capricho,2,1.226994%
como,1,0.613497%
con,5,3.067485%
conmigo,2,1.226994%
conocimos,1,0.613497%
conociste,2,1.226994%
Cuanto,2,1.226994%
dar,2,1.226994%
de,2,1.226994%
dejas,2,1.226994%
el,7,4.294478%
en,2,1.226994%
encontrarías,1,0.613497%
encontré,1,0.613497%
es,2,1.226994%
Estoy,1,0.613497%
feliz,2,1.226994%
hacia,1,0.613497%
has,2,1.226994%
Hasta,1,0.613497%
he,4,2.453988%
herido,2,1.226994%
iras,2,1.226994%
Lloraras,4,2.453988%
lo,1,0.613497%
los,1,0.613497%
mañana,2,1.226994%
me,2,1.226994%
mi,1,0.613497%
momento,1,0.613497%
mí,2,1.226994%
ningún,2,1.226994%
No,2,1.226994%
nos,1,0.613497%
ojos,1,0.613497%
olvidar,2,1.226994%
otro,4,2.453988%
podrás,2,1.226994%
por,2,1.226994%
primera,1,0.613497%
prometido,2,1.226994%
Pues,2,1.226994%
que,8,4.907975%
querido,2,1.226994%
querés,2,1.226994%
quien,2,1.226994%
recordarás,1,0.613497%
Sabiendo,2,1.226994%
seguro,1,0.613497%
ser,2,1.226994%
Si,9,5.521472%
Solo,2,1.226994%
sonrisa,1,0.613497%
supe,2,1.226994%
sé,2,1.226994%
tan,1,0.613497%
Te,7,4.294478%
ti,1,0.613497%
tu,4,2.453988%
verdadero,1,0.613497%
volvieran,1,0.613497%
y,3,1.840491%
yo,5,3.067485%
Total de palabras unicas usadas: 70
Total de palabras (repetidas): 163
Porcentaje de vocabulario distinto: 42.944786
