Palabra, veces usada, porcentaje
a,15,2.727273%
aceleres,1,0.181818%
agujeros,1,0.181818%
ajeno,1,0.181818%
al,3,0.545455%
am,1,0.181818%
amiga,1,0.181818%
Amor,1,0.181818%
aparición,1,0.181818%
apenas,1,0.181818%
apuesto,1,0.181818%
apática,1,0.181818%
aquí,3,0.545455%
Así,1,0.181818%
año,1,0.181818%
bache,1,0.181818%
bajan,1,0.181818%
bap,4,0.727273%
barra,1,0.181818%
baño,1,0.181818%
bici,1,0.181818%
bolsillo,1,0.181818%
bolsillos,1,0.181818%
Boom,4,0.727273%
borracho,1,0.181818%
botella,1,0.181818%
Buenas,1,0.181818%
bueno,1,0.181818%
buscar,1,0.181818%
caballero,1,0.181818%
calientes,1,0.181818%
cambiar,1,0.181818%
camino,1,0.181818%
cansado,1,0.181818%
Cara,1,0.181818%
Carlos,1,0.181818%
casa,1,0.181818%
casi,1,0.181818%
caso,2,0.363636%
cementerio,1,0.181818%
cena,1,0.181818%
ceros,1,0.181818%
cerveza,1,0.181818%
cervezas,1,0.181818%
Charlo,1,0.181818%
Charlot,1,0.181818%
Charola,1,0.181818%
chica,1,0.181818%
cielo,1,0.181818%
Clan,1,0.181818%
coche,2,0.363636%
como,1,0.181818%
con,4,0.727273%
conductora,1,0.181818%
Confundido,1,0.181818%
conoce,1,0.181818%
conocí,1,0.181818%
copiloto,1,0.181818%
cotorreo,1,0.181818%
Cover,1,0.181818%
creo,1,0.181818%
criterio,1,0.181818%
Cuando,1,0.181818%
cuarto,1,0.181818%
cuatro,1,0.181818%
cuenta,1,0.181818%
cuente,1,0.181818%
cuerpo,1,0.181818%
culpa,2,0.363636%
cínica,1,0.181818%
cómo,2,0.363636%
da,2,0.363636%
dam,4,0.727273%
dap,2,0.363636%
data,1,0.181818%
de,18,3.272727%
deja,1,0.181818%
Dejo,1,0.181818%
del,5,0.909091%
después,1,0.181818%
diablo,1,0.181818%
dice,1,0.181818%
dicotomía,1,0.181818%
dije,1,0.181818%
dijo,1,0.181818%
dinero,1,0.181818%
Distrae,1,0.181818%
Donde,2,0.363636%
Dos,1,0.181818%
dum,2,0.363636%
el,11,2.000000%
Ella,3,0.545455%
en,7,1.272727%
enfrente,1,0.181818%
enterado,1,0.181818%
