Palabra, veces usada, porcentaje
a,18,7.228915%
acordarme,2,0.803213%
alma,1,0.401606%
Amor,22,8.835341%
aquí,1,0.401606%
besando,3,1.204819%
besar,2,0.803213%
cada,3,1.204819%
clavaste,1,0.401606%
Como,14,5.622490%
contigo,1,0.401606%
corazón,1,0.401606%
corre,1,0.401606%
cruz,3,1.204819%
de,5,2.008032%
En,9,3.614458%
estremecer,1,0.401606%
estás,14,5.622490%
hace,1,0.401606%
has,1,0.401606%
Iré,1,0.401606%
la,3,1.204819%
labios,2,0.803213%
llenado,1,0.401606%
manera,2,0.803213%
me,5,2.008032%
mi,3,1.204819%
mirar,2,0.803213%
mis,1,0.401606%
no,2,0.803213%
ojos,2,0.803213%
olvidar,12,4.819277%
olvidarte,2,0.803213%
oración,3,1.204819%
partes,2,0.803213%
por,1,0.401606%
que,4,1.606426%
Quiero,4,1.606426%
recuerda,2,0.803213%
respirar,3,1.204819%
Rezando,3,1.204819%
rojos,2,0.803213%
rosa,3,1.204819%
sangre,2,0.803213%
Si,12,4.819277%
te,13,5.220884%
ti,4,1.606426%
todas,2,0.803213%
todo,2,0.803213%
tu,1,0.401606%
tus,4,1.606426%
tú,14,5.622490%
una,6,2.409638%
venas,1,0.401606%
volver,2,0.803213%
voy,12,4.819277%
vuelvan,2,0.803213%
Y,3,1.204819%
Total de palabras unicas usadas: 58
Total de palabras (repetidas): 249
Porcentaje de vocabulario distinto: 23.293173
