Palabra, veces usada, porcentaje
alma,2,1.526718%
amor,3,2.290076%
belleza,1,0.763359%
Bendiciendo,2,1.526718%
bien,2,1.526718%
cantar,2,1.526718%
como,2,1.526718%
Con,2,1.526718%
consentida,2,1.526718%
Convirtiera,2,1.526718%
de,4,3.053435%
Dios,2,1.526718%
divina,1,0.763359%
elevo,2,1.526718%
en,2,1.526718%
engañan,1,0.763359%
Eres,2,1.526718%
es,1,0.763359%
eso,4,3.053435%
gema,2,1.526718%
gritar,2,1.526718%
hiciera,2,1.526718%
igual,1,0.763359%
ilusión,1,0.763359%
joya,1,0.763359%
la,3,2.290076%
Luego,1,0.763359%
me,4,3.053435%
mi,6,4.580153%
mienten,1,0.763359%
mis,2,1.526718%
mujer,5,3.816794%
no,2,1.526718%
nombre,2,1.526718%
ojos,2,1.526718%
Para,2,1.526718%
pidiéndote,2,1.526718%
piedra,1,0.763359%
Por,4,3.053435%
preciosa,1,0.763359%
pude,1,0.763359%
Que,7,5.343511%
querer,1,0.763359%
quiero,4,3.053435%
Si,2,1.526718%
sin,1,0.763359%
te,4,3.053435%
tener,1,0.763359%
toditita,2,1.526718%
Tu,3,2.290076%
Tuve,1,0.763359%
Tú,1,0.763359%
un,1,0.763359%
una,1,0.763359%
valer,2,1.526718%
Valiosa,1,0.763359%
verdad,1,0.763359%
vez,1,0.763359%
vi,1,0.763359%
vida,2,1.526718%
voz,2,1.526718%
Y,4,3.053435%
Yo,1,0.763359%
Total de palabras unicas usadas: 63
Total de palabras (repetidas): 131
Porcentaje de vocabulario distinto: 48.091602
