Palabra, veces usada, porcentaje
a,9,5.000000%
acero,1,0.555556%
ahora,4,2.222222%
arquero,1,0.555556%
atrae,2,1.111111%
avivando,1,0.555556%
barrerán,2,1.111111%
cambian,2,1.111111%
cenizas,2,1.111111%
chispa,4,2.222222%
como,1,0.555556%
corazón,1,0.555556%
cuando,4,2.222222%
de,3,1.666667%
del,1,0.555556%
dos,2,1.111111%
días,1,0.555556%
el,7,3.888889%
empezar,3,1.666667%
en,1,0.555556%
eres,4,2.222222%
es,4,2.222222%
estás,4,2.222222%
factores,2,1.111111%
falta,1,0.555556%
fuego,1,0.555556%
gasolina,4,2.222222%
Huelo,4,2.222222%
igual,1,0.555556%
imán,1,0.555556%
inflamable,4,2.222222%
la,1,0.555556%
las,4,2.222222%
llamas,1,0.555556%
Lo,8,4.444445%
los,5,2.777778%
misma,1,0.555556%
más,2,1.111111%
no,3,1.666667%
nos,1,0.555556%
palabras,1,0.555556%
Pasan,1,0.555556%
pasar,1,0.555556%
Puedes,1,0.555556%
que,5,2.777778%
quién,8,4.444445%
sigue,2,1.111111%
sirvió,1,0.555556%
solución,1,0.555556%
soy,4,2.222222%
sé,6,3.333333%
tiempo,1,0.555556%
todo,2,1.111111%
tú,4,2.222222%
una,4,2.222222%
ver,1,0.555556%
viene,4,2.222222%
viento,1,0.555556%
vuelta,3,1.666667%
y,11,6.111111%
ya,6,3.333333%
yo,4,2.222222%
Total de palabras unicas usadas: 62
Total de palabras (repetidas): 180
Porcentaje de vocabulario distinto: 34.444447
