Palabra, veces usada, porcentaje
A,5,3.649635%
al,2,1.459854%
atención,2,1.459854%
Baila,3,2.189781%
baile,2,1.459854%
cabeza,1,0.729927%
cadena,1,0.729927%
cintura,3,2.189781%
Como,2,1.459854%
Con,6,4.379562%
Cuando,2,1.459854%
delicadeza,1,0.729927%
derecha,1,0.729927%
digo,2,1.459854%
el,4,2.919708%
Ella,2,1.459854%
en,4,2.919708%
es,2,1.459854%
esa,3,2.189781%
escenario,2,1.459854%
eso,2,1.459854%
esta,1,0.729927%
estillo,1,0.729927%
estilo,1,0.729927%
figurin,2,1.459854%
goza,1,0.729927%
gusta,3,2.189781%
izquierda,1,0.729927%
la,11,8.029197%
lindo,1,0.729927%
Llama,2,1.459854%
llega,2,1.459854%
mano,1,0.729927%
me,3,2.189781%
morena,2,1.459854%
Moviendo,1,0.729927%
Mueve,2,1.459854%
mí,3,2.189781%
negra,2,1.459854%
otra,1,0.729927%
Por,2,1.459854%
que,7,5.109489%
roba,2,1.459854%
sabrosura,2,1.459854%
se,2,1.459854%
show,2,1.459854%
Su,3,2.189781%
swing,6,4.379562%
tiene,3,2.189781%
un,2,1.459854%
Una,1,0.729927%
ver,3,2.189781%
Y,7,5.109489%
yo,2,1.459854%
Total de palabras unicas usadas: 54
Total de palabras (repetidas): 137
Porcentaje de vocabulario distinto: 39.416061
