Palabra, veces usada, porcentaje
a,1,1.204819%
alcanzará,1,1.204819%
amor,1,1.204819%
azules,1,1.204819%
cielo,4,4.819277%
con,1,1.204819%
controlan,1,1.204819%
corazón,1,1.204819%
corresponde,1,1.204819%
de,2,2.409638%
dicta,1,1.204819%
distancia,1,1.204819%
el,7,8.433735%
en,2,2.409638%
es,3,3.614458%
igual,1,1.204819%
igualarme,1,1.204819%
la,2,2.409638%
las,1,1.204819%
leyes,1,1.204819%
lo,2,2.409638%
mando,1,1.204819%
mar,3,3.614458%
Me,1,1.204819%
Mejor,1,1.204819%
mi,2,2.409638%
nada,1,1.204819%
nunca,3,3.614458%
papel,1,1.204819%
parece,1,1.204819%
permiteme,1,1.204819%
pero,2,2.409638%
porque,1,1.204819%
que,7,8.433735%
recuerdes,1,1.204819%
se,2,2.409638%
ser,1,1.204819%
siempre,1,1.204819%
siente,1,1.204819%
soy,1,1.204819%
sólo,1,1.204819%
tan,1,1.204819%
te,2,2.409638%
ti,1,1.204819%
tienes,1,1.204819%
tuya,1,1.204819%
un,1,1.204819%
unen,1,1.204819%
vale,1,1.204819%
ven,1,1.204819%
vida,1,1.204819%
y,2,2.409638%
yo,1,1.204819%
Total de palabras unicas usadas: 53
Total de palabras (repetidas): 83
Porcentaje de vocabulario distinto: 63.855423
