Palabra, veces usada, porcentaje
A,1,0.552486%
ahogan,2,1.104972%
al,1,0.552486%
amarras,2,1.104972%
arrastrar,2,1.104972%
Azul,2,1.104972%
bruma,1,0.552486%
cadenas,2,1.104972%
callada,2,1.104972%
cantar,1,0.552486%
Como,7,3.867404%
de,9,4.972375%
desde,5,2.762431%
divina,1,0.552486%
dolor,2,1.104972%
el,2,1.104972%
en,4,2.209945%
está,2,1.104972%
farra,2,1.104972%
fría,1,0.552486%
fuiste,5,2.762431%
garfios,2,1.104972%
garras,2,1.104972%
he,5,2.762431%
ilusión,1,0.552486%
La,7,3.867404%
luna,6,3.314917%
lunada,2,1.104972%
lunita,1,0.552486%
luz,8,4.419889%
me,3,1.657459%
menos,1,0.552486%
mi,5,2.762431%
mía,3,1.657459%
ninguna,3,1.657459%
No,6,3.314917%
noche,3,1.657459%
nunca,1,0.552486%
Para,3,1.657459%
playa,2,1.104972%
plena,2,1.104972%
Ponga,1,0.552486%
Pues,5,2.762431%
que,11,6.077348%
querida,1,0.552486%
quiero,1,0.552486%
recuerdo,1,0.552486%
Sea,2,1.104972%
selva,1,0.552486%
sentirte,1,0.552486%
Si,1,0.552486%
siento,4,2.209945%
sobre,1,0.552486%
te,5,2.762431%
tenido,5,2.762431%
trajiste,1,0.552486%
triste,2,1.104972%
tu,1,0.552486%
tus,4,2.209945%
tú,1,0.552486%
vuelves,1,0.552486%
y,5,2.762431%
ya,1,0.552486%
Yo,3,1.657459%
Total de palabras unicas usadas: 64
Total de palabras (repetidas): 181
Porcentaje de vocabulario distinto: 35.359116
