Palabra, veces usada, porcentaje
a,3,1.538462%
Algo,2,1.025641%
amor,3,1.538462%
Besarnos,3,1.538462%
bien,5,2.564103%
contigo,2,1.025641%
creo,2,1.025641%
de,4,2.051282%
Decirte,2,1.025641%
dejado,2,1.025641%
Desde,2,1.025641%
el,3,1.538462%
empezar,2,1.025641%
en,2,1.025641%
es,2,1.025641%
ese,2,1.025641%
estaría,5,2.564103%
Hacer,3,1.538462%
he,2,1.025641%
hora,2,1.025641%
impide,2,1.025641%
junto,3,1.538462%
la,3,1.538462%
me,2,1.025641%
momento,2,1.025641%
mía,3,1.538462%
nada,2,1.025641%
no,2,1.025641%
ojos,2,1.025641%
otra,15,7.692308%
pensar,2,1.025641%
perfectos,2,1.025641%
piel,3,1.538462%
pienso,2,1.025641%
por,3,1.538462%
que,13,6.666667%
Sentir,3,1.538462%
serio,2,1.025641%
siempre,3,1.538462%
Siento,3,1.538462%
son,2,1.025641%
te,2,1.025641%
Tocarnos,3,1.538462%
tu,3,1.538462%
tus,2,1.025641%
una,12,6.153846%
vez,24,12.307693%
y,20,10.256411%
ya,2,1.025641%
Total de palabras unicas usadas: 49
Total de palabras (repetidas): 195
Porcentaje de vocabulario distinto: 25.128206
