Palabra, veces usada, porcentaje
a,32,11.347517%
así,1,0.354610%
baila,1,0.354610%
bailar,8,2.836879%
camino,1,0.354610%
destino,1,0.354610%
duele,3,1.063830%
el,4,1.418440%
Empieza,1,0.354610%
encontrar,1,0.354610%
entender,1,0.354610%
es,3,1.063830%
escuchar,1,0.354610%
gente,2,0.709220%
gota,1,0.354610%
goza,1,0.354610%
gozar,5,1.773050%
hay,1,0.354610%
heridas,1,0.354610%
la,49,17.375887%
lante,1,0.354610%
las,1,0.354610%
le,2,0.709220%
limpiar,1,0.354610%
llega,1,0.354610%
llorar,3,1.063830%
lluvia,1,0.354610%
mi,11,3.900709%
mires,1,0.354610%
momento,1,0.354610%
no,1,0.354610%
olvida,3,1.063830%
pa,8,2.836879%
Para,7,2.482270%
pena,3,1.063830%
Puede,1,0.354610%
que,2,0.709220%
qué,10,3.546099%
reír,14,4.964539%
se,3,1.063830%
sequía,1,0.354610%
Si,4,1.418440%
Siempre,1,0.354610%
Siente,1,0.354610%
sigue,1,0.354610%
silencio,1,0.354610%
sola,1,0.354610%
solo,1,0.354610%
soñar,1,0.354610%
sufrir,3,1.063830%
tras,1,0.354610%
una,6,2.127660%
veces,2,0.709220%
vencer,1,0.354610%
vida,13,4.609929%
Vive,1,0.354610%
Vivir,11,3.900709%
vivirla,1,0.354610%
Voy,28,9.929078%
Y,6,2.127660%
�eso,3,1.063830%
�Mi,1,0.354610%
Total de palabras unicas usadas: 62
Total de palabras (repetidas): 282
Porcentaje de vocabulario distinto: 21.985815
