Palabra, veces usada, porcentaje
a,3,1.067616%
adoraba,2,0.711744%
Alumbraron,2,0.711744%
amor,7,2.491103%
amores,4,1.423488%
asombres,2,0.711744%
Ay,1,0.355872%
beso,2,0.711744%
boca,2,0.711744%
burlaran,3,1.067616%
cambio,3,1.067616%
camino,2,0.711744%
cariño,1,0.355872%
como,2,0.711744%
con,5,1.779359%
conseguiras,1,0.355872%
consolarme,1,0.355872%
contemplar,1,0.355872%
corazón,2,0.711744%
cosas,2,0.711744%
cuidado,3,1.067616%
de,21,7.473310%
decir,3,1.067616%
dejaste,3,1.067616%
digo,2,0.711744%
el,6,2.135231%
enterara,3,1.067616%
esas,2,0.711744%
esto,3,1.067616%
fuego,2,0.711744%
fuiste,2,0.711744%
gano,3,1.067616%
gente,3,1.067616%
hay,3,1.067616%
hiciste,1,0.355872%
hombre,3,1.067616%
ingrato,2,0.711744%
la,5,1.779359%
lado,2,0.711744%
lindos,2,0.711744%
lo,2,0.711744%
mal,1,0.355872%
mas,1,0.355872%
me,5,1.779359%
mi,14,4.982206%
mis,4,1.423488%
mía,1,0.355872%
mío,1,0.355872%
nadie,5,1.779359%
negros,2,0.711744%
No,11,3.914591%
nombre,1,0.355872%
nunca,3,1.067616%
ojos,2,0.711744%
otro,2,0.711744%
pagaste,1,0.355872%
pensar,2,0.711744%
pobre,2,0.711744%
poderte,1,0.355872%
por,2,0.711744%
Porque,2,0.711744%
puedo,1,0.355872%
que,24,8.540925%
quererme,3,1.067616%
raras,2,0.711744%
se,6,2.135231%
senti,2,0.711744%
sepa,5,1.779359%
si,5,1.779359%
Sin,3,1.067616%
sincero,1,0.355872%
suerte,3,1.067616%
sufrir,5,1.779359%
tan,1,0.355872%
te,8,2.846975%
tiernamente,2,0.711744%
tu,4,1.423488%
tus,2,0.711744%
Un,5,1.779359%
vi,2,0.711744%
vida,3,1.067616%
Y,4,1.423488%
Ya,1,0.355872%
yo,2,0.711744%
Total de palabras unicas usadas: 84
Total de palabras (repetidas): 281
Porcentaje de vocabulario distinto: 29.893238
