Palabra, veces usada, porcentaje
a,1,0.671141%
aborrezco,1,0.671141%
Adiós,1,0.671141%
Ahora,1,0.671141%
Al,2,1.342282%
amor,3,2.013423%
aplauso,1,0.671141%
apuesta,1,0.671141%
buen,1,0.671141%
cierto,1,0.671141%
como,1,0.671141%
contigo,1,0.671141%
contrario,1,0.671141%
convenzo,1,0.671141%
cuando,1,0.671141%
decirte,1,0.671141%
den,1,0.671141%
di,1,0.671141%
dicen,1,0.671141%
dichoso,2,1.342282%
digas,1,0.671141%
doy,1,0.671141%
el,4,2.684564%
en,1,0.671141%
Es,4,2.684564%
Esa,2,1.342282%
estoy,1,0.671141%
feliz,1,0.671141%
fortuna,1,0.671141%
fue,2,1.342282%
fuiste,1,0.671141%
guardo,1,0.671141%
herida,1,0.671141%
Hoy,1,0.671141%
juego,2,1.342282%
jugador,1,0.671141%
Junto,1,0.671141%
la,2,1.342282%
labios,1,0.671141%
le,1,0.671141%
libre,1,0.671141%
madre,1,0.671141%
me,3,2.013423%
mi,4,2.684564%
más,3,2.013423%
mío,1,0.671141%
necesario,1,0.671141%
Ni,4,2.684564%
no,5,3.355705%
nunca,1,0.671141%
otros,1,0.671141%
pago,1,0.671141%
para,3,2.013423%
parte,1,0.671141%
pases,1,0.671141%
perdí,2,1.342282%
placer,2,1.342282%
por,3,2.013423%
porque,1,0.671141%
puede,1,0.671141%
puse,1,0.671141%
que,9,6.040268%
quien,1,0.671141%
quiera,1,0.671141%
Quiero,1,0.671141%
Quizás,1,0.671141%
rencor,1,0.671141%
Si,1,0.671141%
sin,1,0.671141%
soy,2,1.342282%
suerte,2,1.342282%
te,3,2.013423%
ti,2,1.342282%
Todo,1,0.671141%
tranquilo,1,0.671141%
trovador,1,0.671141%
tu,2,1.342282%
tú,3,2.013423%
un,4,2.684564%
viva,3,2.013423%
Vive,2,1.342282%
vives,2,1.342282%
y,5,3.355705%
yo,5,3.355705%
Total de palabras unicas usadas: 84
Total de palabras (repetidas): 149
Porcentaje de vocabulario distinto: 56.375839
