Palabra, veces usada, porcentaje
a,5,4.545455%
al,2,1.818182%
Ay,1,0.909091%
besarte,2,1.818182%
beso,1,0.909091%
Como,2,1.818182%
corazón,6,5.454545%
Cuidadito,17,15.454546%
de,1,0.909091%
decirme,2,1.818182%
del,6,5.454545%
es,1,0.909091%
he,2,1.818182%
justo,1,0.909091%
matado,2,1.818182%
matar,1,0.909091%
Me,2,1.818182%
nadie,2,1.818182%
ni,2,1.818182%
no,3,2.727273%
nuestra,2,1.818182%
pasión,2,1.818182%
podrá,2,1.818182%
Porque,8,7.272727%
Que,2,1.818182%
quedo,1,0.909091%
quererte,2,1.818182%
quiero,1,0.909091%
repetirme,2,1.818182%
respiración,1,0.909091%
siempre,1,0.909091%
sin,1,0.909091%
sufro,6,5.454545%
susto,1,0.909091%
te,2,1.818182%
un,1,0.909091%
vas,1,0.909091%
vuelvas,2,1.818182%
y,1,0.909091%
yo,10,9.090909%
Total de palabras unicas usadas: 40
Total de palabras (repetidas): 110
Porcentaje de vocabulario distinto: 36.363636
