Palabra, veces usada, porcentaje
a,6,3.370786%
alcanzar,1,0.561798%
amarte,1,0.561798%
amor,5,2.808989%
aqui,3,1.685393%
asi,3,1.685393%
aunque,1,0.561798%
cancion,3,1.685393%
corazon,1,0.561798%
cuerpo,3,1.685393%
descubrir,1,0.561798%
deseo,1,0.561798%
Dime,1,0.561798%
doy,7,3.932585%
el,1,0.561798%
En,5,2.808989%
error,1,0.561798%
esta,1,0.561798%
estar,4,2.247191%
estas,2,1.123595%
estoy,2,1.123595%
estrella,1,0.561798%
frente,1,0.561798%
fue,1,0.561798%
fugaz,1,0.561798%
Imaginando,1,0.561798%
junto,3,1.685393%
lado,1,0.561798%
larga,1,0.561798%
lo,3,1.685393%
logro,1,0.561798%
mal,1,0.561798%
mas,3,1.685393%
me,1,0.561798%
mi,16,8.988764%
mis,1,0.561798%
no,6,3.370786%
noche,4,2.247191%
nuestra,3,1.685393%
pensando,1,0.561798%
poder,3,1.685393%
Por,6,3.370786%
Porque,1,0.561798%
presente,1,0.561798%
puedo,3,1.685393%
Que,1,0.561798%
Reviviendo,3,1.685393%
se,1,0.561798%
sentir,3,1.685393%
Si,3,1.685393%
Siempre,1,0.561798%
sientes,1,0.561798%
soledad,1,0.561798%
sueños,1,0.561798%
Te,9,5.056180%
tener,3,1.685393%
ti,2,1.123595%
todo,7,3.932585%
Tu,6,3.370786%
una,3,1.685393%
verme,1,0.561798%
vivir,1,0.561798%
vuelvo,1,0.561798%
Y,5,2.808989%
Ya,4,2.247191%
yo,4,2.247191%
Total de palabras unicas usadas: 66
Total de palabras (repetidas): 178
Porcentaje de vocabulario distinto: 37.078651
