Palabra, veces usada, porcentaje
a,1,1.149425%
alivia,1,1.149425%
amor,3,3.448276%
arrancar,3,3.448276%
audaz,1,1.149425%
borde,1,1.149425%
cargo,3,3.448276%
complacernos,1,1.149425%
Contemplarnos,1,1.149425%
contenernos,1,1.149425%
continuar,1,1.149425%
Coraje,7,8.045978%
deteniendo,1,1.149425%
dudas,1,1.149425%
el,4,4.597701%
en,1,1.149425%
entregados,1,1.149425%
es,1,1.149425%
Este,3,3.448276%
eternizándonos,1,1.149425%
eternos,1,1.149425%
evadiendo,1,1.149425%
extremo,1,1.149425%
futuro,1,1.149425%
hacernos,3,3.448276%
historia,1,1.149425%
ilesos,3,3.448276%
impulso,3,3.448276%
inventar,1,1.149425%
la,2,2.298851%
las,2,2.298851%
motivo,1,1.149425%
necesita,1,1.149425%
nos,1,1.149425%
para,3,3.448276%
placer,1,1.149425%
plan,1,1.149425%
razón,1,1.149425%
salir,3,3.448276%
sentido,1,1.149425%
ser,1,1.149425%
sin,5,5.747127%
sombras,1,1.149425%
sospechas,1,1.149425%
tiempo,1,1.149425%
un,4,4.597701%
vacío,1,1.149425%
verdadero,1,1.149425%
vida,1,1.149425%
y,2,2.298851%
Total de palabras unicas usadas: 50
Total de palabras (repetidas): 87
Porcentaje de vocabulario distinto: 57.471264
