Palabra, veces usada, porcentaje
a,10,1.468429%
adentro,1,0.146843%
agua,2,0.293686%
ah,9,1.321586%
Ahora,1,0.146843%
aire,1,0.146843%
Al,1,0.146843%
Allá,1,0.146843%
amar,3,0.440529%
amargura,1,0.146843%
amiga,1,0.146843%
amo,1,0.146843%
amor,3,0.440529%
Anoche,1,0.146843%
aquí,1,0.146843%
arda,1,0.146843%
asesino,1,0.146843%
asfixio,2,0.293686%
ayer,1,0.146843%
Aún,4,0.587372%
baila,1,0.146843%
Bailar,1,0.146843%
baile,1,0.146843%
bajarme,1,0.146843%
bendita,2,0.293686%
bien,1,0.146843%
boca,2,0.293686%
bombo,1,0.146843%
bonita,2,0.293686%
borro,1,0.146843%
buena,1,0.146843%
bueno,1,0.146843%
cae,1,0.146843%
calle,6,0.881057%
cama,1,0.146843%
cambiará,1,0.146843%
canción,1,0.146843%
cantando,1,0.146843%
cantante,1,0.146843%
Carnavales,1,0.146843%
cavernas,1,0.146843%
celos,15,2.202643%
chiquita,2,0.293686%
Ciegamente,1,0.146843%
cielo,1,0.146843%
claro,1,0.146843%
Clásica,1,0.146843%
Cocina,1,0.146843%
como,4,0.587372%
compañera,1,0.146843%
contrabando,1,0.146843%
corazón,1,0.146843%
crees,1,0.146843%
creo,1,0.146843%
cuéntame,3,0.440529%
Cómo,3,0.440529%
cómplice,1,0.146843%
daño,1,0.146843%
De,18,2.643172%
deja,1,0.146843%
dejaste,4,0.587372%
del,3,0.440529%
Derramaste,1,0.146843%
dice,2,0.293686%
Difícil,1,0.146843%
diga,1,0.146843%
Dime,4,0.587372%
dimensiones,1,0.146843%
distante,1,0.146843%
dormir,1,0.146843%
dormiré,1,0.146843%
días,1,0.146843%
El,7,1.027900%
ella,1,0.146843%
en,11,1.615272%
enredando,1,0.146843%
enredarte,1,0.146843%
entiendo,2,0.293686%
es,4,0.587372%
esa,1,0.146843%
Escribí,1,0.146843%
escucharte,1,0.146843%
