Palabra, veces usada, porcentaje
a,5,5.102041%
al,1,1.020408%
amado,3,3.061224%
amó,5,5.102041%
Ay,6,6.122449%
castigo,1,1.020408%
causa,1,1.020408%
corazón,4,4.081633%
cruel,1,1.020408%
dado,2,2.040816%
descorazonado,1,1.020408%
despiadado,1,1.020408%
dime,1,1.020408%
dolido,1,1.020408%
dolor,1,1.020408%
el,1,1.020408%
eres,1,1.020408%
es,1,1.020408%
final,1,1.020408%
ha,3,3.061224%
haces,2,2.040816%
insensatez,2,2.040816%
la,1,1.020408%
lo,2,2.040816%
merece,3,3.061224%
Mi,1,1.020408%
no,3,3.061224%
nunca,4,4.081633%
orgulloso,1,1.020408%
por,1,1.020408%
que,4,4.081633%
quien,5,5.102041%
qué,3,3.061224%
ser,3,3.061224%
soledad,1,1.020408%
sufrir,2,2.040816%
sé,1,1.020408%
tan,2,2.040816%
te,5,5.102041%
todo,2,2.040816%
Tú,1,1.020408%
un,3,3.061224%
Ves,2,2.040816%
y,2,2.040816%
único,1,1.020408%
Total de palabras unicas usadas: 45
Total de palabras (repetidas): 98
Porcentaje de vocabulario distinto: 45.918365
