Palabra, veces usada, porcentaje
A,4,2.531646%
admiras,2,1.265823%
adorando,2,1.265823%
al,2,1.265823%
alguien,2,1.265823%
Amor,8,5.063291%
corazón,2,1.265823%
darte,2,1.265823%
dos,4,2.531646%
El,6,3.797468%
en,2,1.265823%
enamorados,2,1.265823%
es,12,7.594936%
favor,2,1.265823%
fue,4,2.531646%
hacerlo,2,1.265823%
hecho,4,2.531646%
juego,2,1.265823%
la,4,2.531646%
lo,4,2.531646%
manera,2,1.265823%
me,2,1.265823%
mi,2,1.265823%
mirarme,2,1.265823%
mujer,2,1.265823%
muy,4,2.531646%
más,4,2.531646%
mí,4,2.531646%
no,2,1.265823%
O,2,1.265823%
ocurrente,2,1.265823%
para,12,7.594936%
por,4,2.531646%
pueden,2,1.265823%
puedo,2,1.265823%
que,10,6.329114%
realmente,2,1.265823%
rompas,2,1.265823%
solo,2,1.265823%
ti,4,2.531646%
todo,2,1.265823%
Toma,2,1.265823%
tú,2,1.265823%
un,2,1.265823%
veo,2,1.265823%
y,6,3.797468%
única,2,1.265823%
Total de palabras unicas usadas: 47
Total de palabras (repetidas): 158
Porcentaje de vocabulario distinto: 29.746836
