Palabra, veces usada, porcentaje
a,3,1.546392%
agua,2,1.030928%
ahh,1,0.515464%
al,2,1.030928%
alegremente,3,1.546392%
allí,1,0.515464%
bossa,2,1.030928%
canta,1,0.515464%
cantando,1,0.515464%
cantar,4,2.061856%
Cuando,3,1.546392%
cuchi,4,2.061856%
del,4,2.061856%
desacato,2,1.030928%
desafinó,2,1.030928%
El,2,1.030928%
empezó,1,0.515464%
empujaron,2,1.030928%
en,2,1.030928%
encuentra,1,0.515464%
ensayar,2,1.030928%
entusiamo,1,0.515464%
entusiasmo,1,0.515464%
era,2,1.030928%
eran,2,1.030928%
estaba,1,0.515464%
feas,2,1.030928%
final,2,1.030928%
ganso,1,0.515464%
gato,3,1.546392%
gente,2,1.030928%
hacia,2,1.030928%
ku,2,1.030928%
la,6,3.092783%
larala,2,1.030928%
las,2,1.030928%
le,2,1.030928%
les,1,0.515464%
lindo,1,0.515464%
lo,2,1.030928%
miau,2,1.030928%
más,2,1.030928%
nadar,2,1.030928%
no,2,1.030928%
nota,2,1.030928%
notas,2,1.030928%
nova,2,1.030928%
Para,3,1.546392%
pato,8,4.123711%
peor,2,1.030928%
perrito,1,0.515464%
pobre,2,1.030928%
puso,2,1.030928%
quack,10,5.154639%
Que,6,3.092783%
quería,2,1.030928%
Quick,28,14.432989%
sale,2,1.030928%
se,7,3.608247%
Sus,2,1.030928%
tubiru,1,0.515464%
Tubu,3,1.546392%
Un,9,4.639175%
va,1,0.515464%
voz,2,1.030928%
Y,6,3.092783%
yeah,1,0.515464%
Total de palabras unicas usadas: 67
Total de palabras (repetidas): 194
Porcentaje de vocabulario distinto: 34.536083
