Palabra, veces usada, porcentaje
A,6,4.379562%
abrigo,1,0.729927%
al,3,2.189781%
alborada,2,1.459854%
amanecer,2,1.459854%
amarga,1,0.729927%
amor,2,1.459854%
arrastró,1,0.729927%
aun,2,1.459854%
avalancha,1,0.729927%
Azalea,1,0.729927%
caudaloso,1,0.729927%
Como,1,0.729927%
corazón,2,1.459854%
cristal,2,1.459854%
curar,1,0.729927%
de,6,4.379562%
del,2,1.459854%
desesperación,1,0.729927%
despertarte,2,1.459854%
dolor,1,0.729927%
Donde,1,0.729927%
dormida,2,1.459854%
dulcemente,2,1.459854%
el,3,2.189781%
en,1,0.729927%
espuma,1,0.729927%
estás,2,1.459854%
Flor,1,0.729927%
golondrina,2,1.459854%
hallar,1,0.729927%
herido,1,0.729927%
horas,2,1.459854%
Hoy,1,0.729927%
inerte,1,0.729927%
la,6,4.379562%
las,1,0.729927%
llega,2,1.459854%
Llena,2,1.459854%
lleva,1,0.729927%
mirada,1,0.729927%
muy,2,1.459854%
más,1,0.729927%
negras,1,0.729927%
nueva,2,1.459854%
olvides,1,0.729927%
para,3,2.189781%
pasadas,1,0.729927%
paso,1,0.729927%
penas,1,0.729927%
Pero,1,0.729927%
por,1,0.729927%
protección,1,0.729927%
pudiste,1,0.729927%
que,5,3.649635%
quiero,1,0.729927%
Quisiera,2,1.459854%
refleja,1,0.729927%
río,1,0.729927%
salvarte,1,0.729927%
ser,2,1.459854%
serenas,1,0.729927%
si,2,1.459854%
siempre,1,0.729927%
sonrisa,1,0.729927%
su,1,0.729927%
sólo,1,0.729927%
tan,1,0.729927%
te,1,0.729927%
tenga,1,0.729927%
través,2,1.459854%
tu,6,4.379562%
tus,1,0.729927%
una,2,1.459854%
ventana,2,1.459854%
ver,2,1.459854%
vida,3,2.189781%
y,4,2.919708%
Total de palabras unicas usadas: 78
Total de palabras (repetidas): 137
Porcentaje de vocabulario distinto: 56.934311
