Palabra, veces usada, porcentaje
amor,1,2.040816%
aquí,2,4.081633%
blues,1,2.040816%
de,1,2.040816%
en,2,4.081633%
estabamos,1,2.040816%
estoy,2,4.081633%
hizo,1,2.040816%
imagine,1,2.040816%
la,2,4.081633%
me,4,8.163265%
mejor,3,6.122449%
mi,2,4.081633%
momentos,1,2.040816%
No,1,2.040816%
pero,2,4.081633%
porque,1,2.040816%
primer,1,2.040816%
que,3,6.122449%
recordar,1,2.040816%
se,1,2.040816%
sentí,1,2.040816%
solo,2,4.081633%
tan,2,4.081633%
Un,1,2.040816%
unidos,1,2.040816%
vida,3,6.122449%
viejo,1,2.040816%
voy,2,4.081633%
y,2,4.081633%
Total de palabras unicas usadas: 30
Total de palabras (repetidas): 49
Porcentaje de vocabulario distinto: 61.224491
