Palabra, veces usada, porcentaje
a,17,2.083333%
aburrió,1,0.122549%
acelerar,1,0.122549%
acá,2,0.245098%
admiro,1,0.122549%
adónde,1,0.122549%
afuera,1,0.122549%
Ahora,4,0.490196%
Al,2,0.245098%
algo,1,0.122549%
Alguien,1,0.122549%
altera,2,0.245098%
amigas,1,0.122549%
amigos,2,0.245098%
anda,1,0.122549%
ando,5,0.612745%
antes,1,0.122549%
Asesina,1,0.122549%
audiencia,1,0.122549%
averg�,1,0.122549%
avisar,1,0.122549%
ay,1,0.122549%
bailar,1,0.122549%
bebo,1,0.122549%
besas,1,0.122549%
besos,2,0.245098%
bien,4,0.490196%
Big,1,0.122549%
Cansados,1,0.122549%
cerca,1,0.122549%
chica,1,0.122549%
combo,1,0.122549%
como,2,0.245098%
con,3,0.367647%
confundido,2,0.245098%
confundirse,6,0.735294%
contesta,1,0.122549%
contratan,1,0.122549%
corazón,1,0.122549%
costumbre,1,0.122549%
creer,2,0.245098%
Cuando,3,0.367647%
Cuál,2,0.245098%
cómo,3,0.367647%
de,13,1.593137%
debo,1,0.122549%
decir,2,0.245098%
del,6,0.735294%
deleite,1,0.122549%
Demasiado,2,0.245098%
desde,1,0.122549%
desvelándome,1,0.122549%
dice,2,0.245098%
divertirse,7,0.857843%
Drums,4,0.490196%
duele,1,0.122549%
Einstein,1,0.122549%
el,11,1.348039%
ella,1,0.122549%
empiezan,1,0.122549%
empiezo,2,0.245098%
en,7,0.857843%
enamoró,1,0.122549%
entenderte,1,0.122549%
entiendo,3,0.367647%
Entonces,2,0.245098%
enza,1,0.122549%
era,7,0.857843%
es,17,2.083333%
esa,1,0.122549%
esas,1,0.122549%
Eso,2,0.245098%
espera,1,0.122549%
esperaba,5,0.612745%
esperándote,1,0.122549%
estamos,4,0.490196%
este,6,0.735294%
Estoy,1,0.122549%
experiencia,1,0.122549%
ey,6,0.735294%
finde,6,0.735294%
flow,2,0.245098%
frente,1,0.122549%
frío,2,0.245098%
fríos,2,0.245098%
fue,1,0.122549%
fumo,1,0.122549%
gente,1,0.122549%
géneros,1,0.122549%
habla,2,0.245098%
Hace,5,0.612745%
hacemos,1,0.122549%
Hacer,2,0.245098%
haga,1,0.122549%
Hago,3,0.367647%
hasta,1,0.122549%
he,6,0.735294%
hoy,1,0.122549%
huele,1,0.122549%
indicación,1,0.122549%
inteligente,1,0.122549%
intento,1,0.122549%
inventar,1,0.122549%
juro,2,0.245098%
KristoMan,1,0.122549%
la,9,1.102941%
ladrona,1,0.122549%
lao,1,0.122549%
