Palabra, veces usada, porcentaje
a,12,3.973510%
ahogó,2,0.662252%
ahora,2,0.662252%
amargura,2,0.662252%
amor,4,1.324503%
aprende,2,0.662252%
años,4,1.324503%
busca,2,0.662252%
cariño,2,0.662252%
cien,4,1.324503%
Como,2,0.662252%
Con,2,0.662252%
cuando,2,0.662252%
De,10,3.311258%
dentro,2,0.662252%
desprecios,2,0.662252%
digo,2,0.662252%
duele,2,0.662252%
embargo,2,0.662252%
en,2,0.662252%
entre,2,0.662252%
envuelva,2,0.662252%
equivocaste,2,0.662252%
Eso,2,0.662252%
existencia,2,0.662252%
favor,2,0.662252%
gran,2,0.662252%
hablé,2,0.662252%
hacia,2,0.662252%
hago,2,0.662252%
hasta,2,0.662252%
He,4,1.324503%
hoy,2,0.662252%
indiferencia,2,0.662252%
la,4,1.324503%
lado,2,0.662252%
llegar,2,0.662252%
lo,4,1.324503%
me,12,3.973510%
Merezca,2,0.662252%
Mi,6,1.986755%
mirarte,2,0.662252%
miras,2,0.662252%
modo,2,0.662252%
morirme,2,0.662252%
mí,6,1.986755%
ni,8,2.649007%
no,6,1.986755%
o,2,0.662252%
ojos,2,0.662252%
olvidar,2,0.662252%
olvidaste,2,0.662252%
oyeras,2,0.662252%
Pasaste,2,0.662252%
Pensar,2,0.662252%
Pero,2,0.662252%
piensas,2,0.662252%
pienso,2,0.662252%
por,4,1.324503%
que,16,5.298013%
quien,4,1.324503%
quiere,2,0.662252%
quieres,2,0.662252%
Recuerda,2,0.662252%
rogarte,2,0.662252%
Saber,2,0.662252%
Se,8,2.649007%
Si,6,1.986755%
sigues,2,0.662252%
sin,6,1.986755%
siquiera,2,0.662252%
suerte,2,0.662252%
sufre,2,0.662252%
sus,2,0.662252%
también,2,0.662252%
Tarde,2,0.662252%
te,12,3.973510%
temprano,2,0.662252%
ti,4,1.324503%
tienes,2,0.662252%
toda,2,0.662252%
Tus,2,0.662252%
Unida,2,0.662252%
vaivenes,2,0.662252%
veremos,2,0.662252%
veré,2,0.662252%
vi,2,0.662252%
vida,2,0.662252%
vieras,2,0.662252%
vivo,2,0.662252%
Voltearon,2,0.662252%
voy,2,0.662252%
Y,8,2.649007%
ya,6,1.986755%
yo,2,0.662252%
Total de palabras unicas usadas: 95
Total de palabras (repetidas): 302
Porcentaje de vocabulario distinto: 31.456953
