Palabra, veces usada, porcentaje
a,3,1.250000%
advertirte,2,0.833333%
Ah,1,0.416667%
al,2,0.833333%
algo,1,0.416667%
amanecer,2,0.833333%
amor,3,1.250000%
así,2,0.833333%
bien,3,1.250000%
claro,1,0.416667%
con,5,2.083333%
Crees,2,0.833333%
cuerpo,3,1.250000%
cómo,1,0.416667%
daré,1,0.416667%
de,3,1.250000%
dejar,1,0.416667%
depravación,2,0.833333%
descomunal,3,1.250000%
Deseo,1,0.416667%
diré,1,0.416667%
dos,2,0.833333%
Dónde,1,0.416667%
el,1,0.416667%
elegancia,1,0.416667%
en,4,1.666667%
es,2,0.833333%
estaré,2,0.833333%
estaría,2,0.833333%
finges,1,0.416667%
gusta,1,0.416667%
hablar,1,0.416667%
hablarte,3,1.250000%
hacerlo,1,0.416667%
igual,2,0.833333%
indumentaria,3,1.250000%
la,4,1.666667%
le,1,0.416667%
lo,5,2.083333%
manejo,1,0.416667%
me,7,2.916667%
mi,2,0.833333%
más,3,1.250000%
mí,2,0.833333%
nada,1,0.416667%
nadie,1,0.416667%
no,6,2.500000%
nombre,3,1.250000%
olvidé,1,0.416667%
palpar,3,1.250000%
Para,3,1.250000%
perder,1,0.416667%
Pero,2,0.833333%
poco,1,0.416667%
pongo,1,0.416667%
preguntar,1,0.416667%
prometo,6,2.500000%
promiscuidad,1,0.416667%
prudencia,1,0.416667%
que,14,5.833333%
quieres,8,3.333333%
quiero,6,2.500000%
qué,2,0.833333%
respeto,3,1.250000%
Ruge,2,0.833333%
saber,2,0.833333%
sabes,2,0.833333%
Sensual,6,2.500000%
Si,1,0.416667%
Sin,3,1.250000%
solo,2,0.833333%
soy,1,0.416667%
sudar,1,0.416667%
superficial,1,0.416667%
sé,5,2.083333%
Sí,1,0.416667%
también,1,0.416667%
te,9,3.750000%
tener,6,2.500000%
Tengo,2,0.833333%
tiempo,1,0.416667%
tienes,2,0.833333%
todo,4,1.666667%
Tu,4,1.666667%
una,2,0.833333%
verdad,1,0.416667%
vez,2,0.833333%
vives,1,0.416667%
voy,1,0.416667%
Y,9,3.750000%
ya,1,0.416667%
Yo,7,2.916667%
Total de palabras unicas usadas: 92
Total de palabras (repetidas): 240
Porcentaje de vocabulario distinto: 38.333332
