Palabra, veces usada, porcentaje
ahora,6,3.636364%
amo,2,1.212121%
amor,4,2.424242%
cambio,4,2.424242%
canción,4,2.424242%
como,2,1.212121%
con,6,3.636364%
consentida,4,2.424242%
corazón,2,1.212121%
de,4,2.424242%
del,2,1.212121%
Después,2,1.212121%
doy,4,2.424242%
día,4,2.424242%
el,2,1.212121%
empezó,2,1.212121%
en,2,1.212121%
es,2,1.212121%
escribiendo,2,1.212121%
esto,2,1.212121%
fue,2,1.212121%
gracias,4,2.424242%
gran,4,2.424242%
hipocresía,2,1.212121%
hoy,2,1.212121%
la,2,1.212121%
las,4,2.424242%
lo,2,1.212121%
mas,2,1.212121%
mi,12,7.272727%
Muchachita,4,2.424242%
No,2,1.212121%
regocija,2,1.212121%
se,8,4.848485%
sentimiento,2,1.212121%
sufrimiento,2,1.212121%
Tal,2,1.212121%
te,6,3.636364%
todo,4,2.424242%
tormento,2,1.212121%
Tu,4,2.424242%
Uh,3,1.818182%
un,4,2.424242%
venido,2,1.212121%
vez,2,1.212121%
vida,8,4.848485%
vino,2,1.212121%
Y,6,3.636364%
Yo,2,1.212121%
Total de palabras unicas usadas: 49
Total de palabras (repetidas): 165
Porcentaje de vocabulario distinto: 29.696972
