Palabra, veces usada, porcentaje
a,4,1.923077%
acabar,3,1.442308%
adelante,1,0.480769%
al,1,0.480769%
algo,1,0.480769%
Allá,2,0.961538%
aquí,2,0.961538%
Argentina,1,0.480769%
así,1,0.480769%
atrás,1,0.480769%
avanza,1,0.480769%
ayudar,1,0.480769%
bala,2,0.961538%
Bolivia,1,0.480769%
Brasil,1,0.480769%
buscamos,1,0.480769%
cambiar,1,0.480769%
canción,1,0.480769%
canta,2,0.961538%
cantan,1,0.480769%
Caribe,1,0.480769%
Casi,2,0.961538%
Chile,1,0.480769%
Colombia,1,0.480769%
como,2,0.961538%
comodidad,1,0.480769%
con,2,0.961538%
corazón,1,0.480769%
Costa,1,0.480769%
cuando,1,0.480769%
Cuba,1,0.480769%
darnos,1,0.480769%
de,3,1.442308%
defiende,1,0.480769%
defienden,1,0.480769%
Del,1,0.480769%
depende,1,0.480769%
derecho,1,0.480769%
diferente,1,0.480769%
Dominicana,1,0.480769%
día,1,0.480769%
Ecuador,1,0.480769%
el,7,3.365385%
en,4,1.923077%
escudo,1,0.480769%
esquinas,1,0.480769%
esto,1,0.480769%
futuro,1,0.480769%
gente,3,1.442308%
Guadalupe,1,0.480769%
Guatemala,1,0.480769%
ha,1,0.480769%
hacemos,1,0.480769%
hay,3,1.442308%
hoy,1,0.480769%
Jamaica,1,0.480769%
la,13,6.250000%
las,1,0.480769%
libertad,1,0.480769%
llegó,1,0.480769%
lo,3,1.442308%
los,2,0.961538%
maldad,2,0.961538%
mamá,1,0.480769%
mano,1,0.480769%
Martinique,1,0.480769%
matar,1,0.480769%
mate,1,0.480769%
mi,1,0.480769%
mira,1,0.480769%
mueve,1,0.480769%
mundo,2,0.961538%
muévete,4,1.923077%
Méjico,1,0.480769%
necesidad,1,0.480769%
necesita,1,0.480769%
Nicaragua,1,0.480769%
niños,1,0.480769%
No,2,0.961538%
Noy,1,0.480769%
nuestra,1,0.480769%
nunca,1,0.480769%
oye,1,0.480769%
Panamá,1,0.480769%
papá,1,0.480769%
para,6,2.884615%
Paraguay,1,0.480769%
Pero,1,0.480769%
Perú,1,0.480769%
pida,1,0.480769%
pide,1,0.480769%
pon,1,0.480769%
pueda,1,0.480769%
Puerto,1,0.480769%
que,6,2.884615%
racismo,1,0.480769%
razón,2,0.961538%
realidad,1,0.480769%
República,1,0.480769%
Reunámonos,1,0.480769%
Rica,1,0.480769%
Rico,1,0.480769%
rumbo,1,0.480769%
saludo,1,0.480769%
Salvador,1,0.480769%
salvar,1,0.480769%
se,1,0.480769%
seguir,1,0.480769%
seguridad,1,0.480769%
si,1,0.480769%
sido,1,0.480769%
siempre,1,0.480769%
Soweto,1,0.480769%
su,2,0.961538%
Sur,1,0.480769%
tanta,1,0.480769%
te,1,0.480769%
toda,1,0.480769%
todas,1,0.480769%
todo,1,0.480769%
todos,2,0.961538%
Trinidad,1,0.480769%
un,2,0.961538%
Uruguay,1,0.480769%
usan,1,0.480769%
va,3,1.442308%
vamos,1,0.480769%
ven,1,0.480769%
Venezuela,1,0.480769%
verdad,2,0.961538%
vida,1,0.480769%
y,9,4.326923%
�ay,1,0.480769%
áfrica,2,0.961538%
Total de palabras unicas usadas: 134
Total de palabras (repetidas): 208
Porcentaje de vocabulario distinto: 64.423080
