Palabra, veces usada, porcentaje
a,7,0.755124%
abrazados,1,0.107875%
acuerdo,1,0.107875%
adicción,1,0.107875%
Ahora,7,0.755124%
alcohol,1,0.107875%
almohada,1,0.107875%
amanece,1,0.107875%
amas,4,0.431499%
ambiente,1,0.107875%
amigo,1,0.107875%
amigos,3,0.323625%
Angelito,1,0.107875%
Antes,1,0.107875%
antología,2,0.215750%
aparte,1,0.107875%
apretada,1,0.107875%
aquel,1,0.107875%
aquí,2,0.215750%
Arnold,1,0.107875%
arracadas,1,0.107875%
así,2,0.215750%
atracción,1,0.107875%
atrás,1,0.107875%
aunque,1,0.107875%
años,1,0.107875%
balones,1,0.107875%
barbilla,1,0.107875%
bardas,1,0.107875%
bebé,1,0.107875%
besos,2,0.215750%
bici,1,0.107875%
bolsita,1,0.107875%
bonita,2,0.215750%
borrachera,1,0.107875%
brava,1,0.107875%
brillan,1,0.107875%
brillosos,1,0.107875%
brothas,1,0.107875%
buró,1,0.107875%
cabrona,1,0.107875%
cabronas,2,0.215750%
cabrón,2,0.215750%
cada,3,0.323625%
cama,4,0.431499%
Camisa,1,0.107875%
canasta,1,0.107875%
canciones,1,0.107875%
cantan,1,0.107875%
cara,4,0.431499%
casa,1,0.107875%
cena,1,0.107875%
centro,1,0.107875%
cerquita,1,0.107875%
chamarra,1,0.107875%
chico,1,0.107875%
chiquita,3,0.323625%
chiquito,1,0.107875%
chocos,1,0.107875%
chupando,1,0.107875%
cicatrices,1,0.107875%
cinturón,1,0.107875%
clásico,1,0.107875%
cobija,1,0.107875%
color,1,0.107875%
combino,1,0.107875%
comete,1,0.107875%
como,2,0.215750%
compas,1,0.107875%
con,8,0.862999%
conformar,1,0.107875%
contigo,2,0.215750%
convertía,1,0.107875%
cordura,1,0.107875%
Cortar,1,0.107875%
Cortazar,1,0.107875%
cosa,1,0.107875%
cosas,1,0.107875%
crecer,1,0.107875%
creciendo,1,0.107875%
creo,1,0.107875%
cuando,2,0.215750%
cubo,1,0.107875%
Cultura,1,0.107875%
cumpleaños,1,0.107875%
cuál,1,0.107875%
cómo,2,0.215750%
dada,1,0.107875%
dan,1,0.107875%
de,18,1.941748%
decías,2,0.215750%
dedos,1,0.107875%
deja,1,0.107875%
dejaba,1,0.107875%
dejes,2,0.215750%
del,4,0.431499%
demás,1,0.107875%
desayuno,1,0.107875%
descuenta,1,0.107875%
desde,1,0.107875%
deudas,1,0.107875%
dices,2,0.215750%
diez,1,0.107875%
dijiste,2,0.215750%
dispensador,1,0.107875%
diste,2,0.215750%
donde,1,0.107875%
el,15,1.618123%
Ella,3,0.323625%
empecé,1,0.107875%
en,25,2.696872%
enamoré,1,0.107875%
encanta,1,0.107875%
entendiendo,1,0.107875%
entiendo,1,0.107875%
es,3,0.323625%
Esa,4,0.431499%
escondidas,1,0.107875%
escucho,1,0.107875%
eso,1,0.107875%
esos,1,0.107875%
espejo,1,0.107875%
esta,2,0.215750%
estaba,2,0.215750%
estar,1,0.107875%
estoy,4,0.431499%
está,1,0.107875%
Estás,2,0.215750%
extrañar,1,0.107875%
facciones,1,0.107875%
fajada,1,0.107875%
falda,1,0.107875%
fallando,1,0.107875%
faltaban,1,0.107875%
favor,1,0.107875%
favorito,1,0.107875%
fiesta,1,0.107875%
figuritas,1,0.107875%
fin,1,0.107875%
fogatas,1,0.107875%
Forjaron,1,0.107875%
fotos,2,0.215750%
francesa,1,0.107875%
frutsi,1,0.107875%
fue,8,0.862999%
fueron,4,0.431499%
fui,1,0.107875%
fundió,1,0.107875%
futuro,1,0.107875%
ganas,1,0.107875%
gargantilla,1,0.107875%
garrafón,1,0.107875%
gente,1,0.107875%
grande,2,0.215750%
granos,1,0.107875%
gusta,2,0.215750%
gustaba,1,0.107875%
hace,1,0.107875%
hacer,1,0.107875%
hacerla,1,0.107875%
hacia,1,0.107875%
Haciendo,1,0.107875%
hasta,1,0.107875%
hay,1,0.107875%
hermana,1,0.107875%
Hey,1,0.107875%
hiciste,4,0.431499%
hizo,1,0.107875%
huevos,1,0.107875%
imanes,1,0.107875%
jabones,1,0.107875%
jarro,1,0.107875%
jugar,1,0.107875%
King,1,0.107875%
Kong,1,0.107875%
La,42,4.530744%
labios,2,0.215750%
lado,1,0.107875%
las,18,1.941748%
latas,1,0.107875%
linda,1,0.107875%
llegaron,3,0.323625%
llegó,1,0.107875%
llevar,1,0.107875%
llorar,1,0.107875%
Llévate,6,0.647249%
Llévatelo,2,0.215750%
lo,8,0.862999%
locura,1,0.107875%
Los,13,1.402373%
lámpara,1,0.107875%
madera,1,0.107875%
Mafalda,1,0.107875%
maletas,1,0.107875%
manera,1,0.107875%
mano,1,0.107875%
manos,1,0.107875%
mar,1,0.107875%
marcadas,1,0.107875%
Marcaron,1,0.107875%
mañana,1,0.107875%
me,30,3.236246%
mesa,2,0.215750%
Messi,1,0.107875%
metas,1,0.107875%
mi,8,0.862999%
Mientras,1,0.107875%
Mis,2,0.215750%
moco,1,0.107875%
moderna,1,0.107875%
momento,1,0.107875%
morada,1,0.107875%
morras,2,0.215750%
morro,1,0.107875%
moto,1,0.107875%
murales,1,0.107875%
muriendo,1,0.107875%
más,5,0.539374%
nada,7,0.755124%
ni,2,0.215750%
Nintendo,1,0.107875%
niñas,1,0.107875%
No,30,3.236246%
noches,1,0.107875%
nos,2,0.215750%
notitas,1,0.107875%
nueces,1,0.107875%
Nuestras,1,0.107875%
nunca,4,0.431499%
Oblina,1,0.107875%
ojos,1,0.107875%
olvidar,1,0.107875%
olvide,1,0.107875%
olvides,3,0.323625%
olvídalo,1,0.107875%
onda,2,0.215750%
organizas,1,0.107875%
orilla,1,0.107875%
Oye,1,0.107875%
Pa,2,0.215750%
pantalon,1,0.107875%
pantuflas,1,0.107875%
papada,1,0.107875%
Papita,1,0.107875%
Para,4,0.431499%
Parece,1,0.107875%
parques,1,0.107875%
pasa,7,0.755124%
pasado,1,0.107875%
pasamos,1,0.107875%
patada,1,0.107875%
patrones,1,0.107875%
patrón,1,0.107875%
pedazos,1,0.107875%
película,4,0.431499%
pensar,2,0.215750%
percaté,1,0.107875%
perderse,1,0.107875%
perdido,1,0.107875%
Pero,2,0.215750%
perritos,1,0.107875%
pesos,1,0.107875%
pienso,1,0.107875%
pijamadas,1,0.107875%
Pikachu,1,0.107875%
Pintaba,1,0.107875%
pintura,2,0.215750%
piñatas,1,0.107875%
planes,1,0.107875%
plantas,1,0.107875%
platos,1,0.107875%
Pobre,1,0.107875%
podemos,2,0.215750%
Poloster,1,0.107875%
pones,1,0.107875%
por,4,0.431499%
Porque,1,0.107875%
portería,1,0.107875%
Prefiero,1,0.107875%
prensa,1,0.107875%
presente,1,0.107875%
Profética,1,0.107875%
promesa,1,0.107875%
pueda,1,0.107875%
puntería,1,0.107875%
pusiste,1,0.107875%
que,61,6.580367%
quería,3,0.323625%
quiero,4,0.431499%
quita,1,0.107875%
Qué,2,0.215750%
quédate,2,0.215750%
rampas,1,0.107875%
Rastas,1,0.107875%
recuerdo,1,0.107875%
refresco,1,0.107875%
regalo,1,0.107875%
regalé,1,0.107875%
regresan,1,0.107875%
resaca,1,0.107875%
retratos,1,0.107875%
riñas,1,0.107875%
Rocco,1,0.107875%
rociabas,1,0.107875%
