Palabra, veces usada, porcentaje
abrigo,2,0.591716%
aguanto,8,2.366864%
alma,10,2.958580%
amor,4,1.183432%
azucenas,2,0.591716%
bonito,3,0.887574%
cariño,4,1.183432%
cerro,4,1.183432%
color,2,0.591716%
como,8,2.366864%
condena,8,2.366864%
conmigo,3,0.887574%
contigo,3,0.887574%
corazón,2,0.591716%
de,2,0.591716%
dejar,1,0.295858%
dejaste,8,2.366864%
del,4,1.183432%
Desde,8,2.366864%
diciéndote,1,0.295858%
el,12,3.550296%
en,12,3.550296%
es,11,3.254438%
esta,8,2.366864%
estoy,3,0.887574%
extrañar,1,0.295858%
extrañarte,1,0.295858%
frió,2,0.591716%
hago,2,0.591716%
han,2,0.591716%
La,4,1.183432%
Las,4,1.183432%
mas,2,0.591716%
me,13,3.846154%
morir,1,0.295858%
nada,6,1.775148%
No,18,5.325444%
noches,2,0.591716%
pedazos,10,2.958580%
pena,8,2.366864%
perdido,2,0.591716%
por,3,0.887574%
Pregúntale,1,0.295858%
que,15,4.437870%
se,4,1.183432%
Ser,2,0.591716%
si,5,1.479290%
siempre,3,0.887574%
sin,8,2.366864%
soy,4,1.183432%
su,2,0.591716%
tan,3,0.887574%
Tanto,9,2.662722%
tener,3,0.887574%
tenerte,3,0.887574%
Tengo,13,3.846154%
tiempo,9,2.662722%
tu,7,2.071006%
una,8,2.366864%
va,1,0.295858%
ventanita,4,1.183432%
verte,8,2.366864%
Y,3,0.887574%
Ya,9,2.662722%
Total de palabras unicas usadas: 64
Total de palabras (repetidas): 338
Porcentaje de vocabulario distinto: 18.934912
