Palabra, veces usada, porcentaje
A,15,1.210654%
abrió,1,0.080710%
actúas,9,0.726392%
advirtieron,1,0.080710%
ah,3,0.242131%
ahora,1,0.080710%
ahí,5,0.403551%
aire,3,0.242131%
al,2,0.161420%
alejas,1,0.080710%
Algo,1,0.080710%
alguien,1,0.080710%
allá,2,0.161420%
Alright,2,0.161420%
amor,1,0.080710%
antes,1,0.080710%
antojos,1,0.080710%
anuncio,3,0.242131%
apoyándote,1,0.080710%
asesino,2,0.161420%
asi,1,0.080710%
asunto,1,0.080710%
así,8,0.645682%
aunque,3,0.242131%
auténtico,1,0.080710%
aviso,4,0.322841%
Ay,5,0.403551%
baby,3,0.242131%
barata,1,0.080710%
bebé,1,0.080710%
bien,20,1.614205%
bloqueé,1,0.080710%
blue,1,0.080710%
bola,1,0.080710%
boy,2,0.161420%
Boyz,1,0.080710%
burlarme,2,0.161420%
cabe,6,0.484262%
cada,1,0.080710%
cadera,1,0.080710%
calle,1,0.080710%
canción,4,0.322841%
canta,4,0.322841%
cara,1,0.080710%
caras,1,0.080710%
caso,1,0.080710%
celo,1,0.080710%
chantaje,12,0.968523%
ciega,1,0.080710%
cielo,5,0.403551%
claro,1,0.080710%
clavaste,1,0.080710%
Colombia,1,0.080710%
comen,1,0.080710%
como,13,1.049233%
completarte,1,0.080710%
compro,1,0.080710%
comíamos,1,0.080710%
Con,12,0.968523%
conciertos,1,0.080710%
Condenando,1,0.080710%
Conmigo,2,0.161420%
conozco,2,0.161420%
continúa,6,0.484262%
corazón,1,0.080710%
corbata,1,0.080710%
cuando,3,0.242131%
cuchillo,1,0.080710%
cuclillas,1,0.080710%
cuenta,1,0.080710%
cuentes,1,0.080710%
cuerpo,4,0.322841%
cuiden,5,0.403551%
Cuándo,1,0.080710%
cócteles,1,0.080710%
Cómo,1,0.080710%
dame,2,0.161420%
Dando,2,0.161420%
dar,1,0.080710%
de,42,3.389831%
deberían,1,0.080710%
decir,1,0.080710%
decía,1,0.080710%
dejando,1,0.080710%
deje,1,0.080710%
del,3,0.242131%
deshaciendo,1,0.080710%
di,1,0.080710%
dia,2,0.161420%
dicen,1,0.080710%
digas,1,0.080710%
digo,3,0.242131%
Dime,1,0.080710%
doliera,1,0.080710%
dos,1,0.080710%
duda,6,0.484262%
día,2,0.161420%
dímelo,1,0.080710%
Dónde,4,0.322841%
egoísta,3,0.242131%
Eh,32,2.582728%
el,20,1.614205%
ella,1,0.080710%
ellos,2,0.161420%
Empezando,1,0.080710%
empolvada,1,0.080710%
en,18,1.452785%
enderezar,1,0.080710%
entierra,1,0.080710%
entra,1,0.080710%
entretienen,1,0.080710%
eras,1,0.080710%
eres,6,0.484262%
Es,13,1.049233%
esa,2,0.161420%
escapar,1,0.080710%
escucha,1,0.080710%
ese,7,0.564972%
Eso,10,0.807103%
Esos,1,0.080710%
espalda,1,0.080710%
espera,1,0.080710%
esta,7,0.564972%
estan,1,0.080710%
estoy,4,0.322841%
está,2,0.161420%
están,2,0.161420%
estás,2,0.161420%
falso,1,0.080710%
feel,1,0.080710%
felicito,9,0.726392%
filosofía,1,0.080710%
fluíamos,1,0.080710%
Fue,1,0.080710%
fuego,1,0.080710%
fui,1,0.080710%
ganas,1,0.080710%
gente,1,0.080710%
gota,1,0.080710%
guerra,1,0.080710%
guitarra,2,0.161420%
ha,1,0.080710%
Hablándote,1,0.080710%
haciendo,1,0.080710%
han,5,0.403551%
has,1,0.080710%
Hasta,1,0.080710%
hay,1,0.080710%
he,2,0.161420%
hecho,1,0.080710%
herida,1,0.080710%
hice,1,0.080710%
historias,1,0.080710%
hoy,3,0.242131%
iglesias,1,0.080710%
importa,1,0.080710%
intención,2,0.161420%
intentarlo,1,0.080710%
jeans,1,0.080710%
juro,2,0.161420%
juzgados,1,0.080710%
la,15,1.210654%
ladrones,2,0.161420%
las,6,0.484262%
lecciones,1,0.080710%
libre,3,0.242131%
lisa,3,0.242131%
lista,1,0.080710%
llanto,3,0.242131%
Llevo,1,0.080710%
llorar,1,0.080710%
lo,9,0.726392%
loba,1,0.080710%
loco,1,0.080710%
los,13,1.049233%
madre,5,0.403551%
mala,4,0.322841%
Maluma,1,0.080710%
manda,1,0.080710%
manera,3,0.242131%
manipularme,1,0.080710%
manos,1,0.080710%
masoquista,2,0.161420%
Me,35,2.824859%
medio,1,0.080710%
mejor,5,0.403551%
Mercedes,1,0.080710%
mi,5,0.403551%
mientes,2,0.161420%
ministerios,1,0.080710%
mona,3,0.242131%
monto,1,0.080710%
moto,1,0.080710%
movimientos,1,0.080710%
mueves,1,0.080710%
muriendo,1,0.080710%
my,1,0.080710%
más,3,0.242131%
mí,2,0.161420%
na,1,0.080710%
nació,1,0.080710%
nada,2,0.161420%
nadie,11,0.887813%
nariz,1,0.080710%
necesito,1,0.080710%
negocios,3,0.242131%
neurótico,1,0.080710%
ni,3,0.242131%
no,41,3.309120%
noche,1,0.080710%
nos,1,0.080710%
Nunca,7,0.564972%
o,4,0.322841%
ofreciendo,1,0.080710%
ojos,1,0.080710%
olvidarte,1,0.080710%
Oscar,1,0.080710%
otra,2,0.161420%
otro,3,0.242131%
Oye,1,0.080710%
oído,1,0.080710%
pa,4,0.322841%
papel,6,0.484262%
para,1,0.080710%
Parados,1,0.080710%
parece,1,0.080710%
pares,1,0.080710%
partir,1,0.080710%
París,1,0.080710%
pasa,4,0.322841%
patadas,2,0.161420%
patio,2,0.161420%
patético,1,0.080710%
pedazos,1,0.080710%
pensé,1,0.080710%
Perdiste,1,0.080710%
Pero,6,0.484262%
picar,1,0.080710%
piel,1,0.080710%
planeando,1,0.080710%
podido,1,0.080710%
ponía,1,0.080710%
Por,12,0.968523%
portadas,1,0.080710%
posiciones,1,0.080710%
Predicando,1,0.080710%
Pregúntale,2,0.161420%
Pretty,2,0.161420%
propaganda,1,0.080710%
prueba,2,0.161420%
puede,1,0.080710%
Pues,1,0.080710%
puro,24,1.937046%
que,55,4.439064%
queda,6,0.484262%
quedé,3,0.242131%
Quemando,1,0.080710%
quererte,1,0.080710%
quien,2,0.161420%
quiera,3,0.242131%
quieras,2,0.161420%
quieres,1,0.080710%
quiero,4,0.322841%
quise,2,0.161420%
Quizá,2,0.161420%
qué,9,0.726392%
razón,1,0.080710%
re,1,0.080710%
rebasó,1,0.080710%
recuerde,1,0.080710%
redes,1,0.080710%
relación,1,0.080710%
renuncio,3,0.242131%
Repartiendo,1,0.080710%
resulta,1,0.080710%
revolcándose,2,0.161420%
revés,1,0.080710%
rodillas,1,0.080710%
rojos,1,0.080710%
rompí,1,0.080710%
Rude,1,0.080710%
sabe,2,0.161420%
saber,1,0.080710%
sabes,3,0.242131%
sale,1,0.080710%
salgo,1,0.080710%
salir,1,0.080710%
satírico,1,0.080710%
se,5,0.403551%
seas,1,0.080710%
sencillo,1,0.080710%
Sentados,1,0.080710%
sera,1,0.080710%
será,3,0.242131%
sexys,1,0.080710%
Shakira,1,0.080710%
show,6,0.484262%
si,5,0.403551%
sicótico,1,0.080710%
sido,1,0.080710%
siempre,5,0.403551%
sientes,3,0.242131%
siento,1,0.080710%
sigo,1,0.080710%
sin,8,0.645682%
sincero,2,0.161420%
sola,1,0.080710%
son,2,0.161420%
sonrisa,3,0.242131%
soporto,1,0.080710%
soy,8,0.645682%
Su,1,0.080710%
sucios,3,0.242131%
Suena,1,0.080710%
sufriendo,1,0.080710%
Sé,5,0.403551%
sí,3,0.242131%
Tal,1,0.080710%
tan,3,0.242131%
tango,1,0.080710%
tanto,1,0.080710%
te,41,3.309120%
tejados,1,0.080710%
tendrán,1,0.080710%
tengo,2,0.161420%
ti,20,1.614205%
tiene,1,0.080710%
tienes,1,0.080710%
tientas,1,0.080710%
toca,2,0.161420%
toda,1,0.080710%
todas,2,0.161420%
todo,1,0.080710%
todos,1,0.080710%
toma,1,0.080710%
torcido,1,0.080710%
tranquilizante,1,0.080710%
tras,1,0.080710%
tratas,1,0.080710%
trés,1,0.080710%
tu,17,1.372074%
tus,4,0.322841%
tuve,2,0.161420%
tuyo,1,0.080710%
Tú,12,0.968523%
un,11,0.887813%
una,5,0.403551%
vacunada,3,0.242131%
Vas,3,0.242131%
vaso,1,0.080710%
vaya,1,0.080710%
veas,1,0.080710%
vecino,2,0.161420%
ver,1,0.080710%
ves,3,0.242131%
vez,2,0.161420%
Vida,2,0.161420%
visto,5,0.403551%
vivir,1,0.080710%
vo,1,0.080710%
volante,1,0.080710%
voy,9,0.726392%
vueltas,1,0.080710%
y,34,2.744148%
Ya,8,0.645682%
yo,14,1.129943%
You,2,0.161420%
�Ven,1,0.080710%
Total de palabras unicas usadas: 368
Total de palabras (repetidas): 1239
Porcentaje de vocabulario distinto: 29.701372
