Palabra, veces usada, porcentaje
al,1,0.884956%
amar,1,0.884956%
atento,1,0.884956%
Aunque,3,2.654867%
cambien,2,1.769912%
caminar,1,0.884956%
cante,1,0.884956%
color,2,1.769912%
como,1,0.884956%
con,2,1.769912%
conversando,1,0.884956%
corazones,1,0.884956%
corazón,1,0.884956%
cosas,3,2.654867%
de,4,3.539823%
detenidos,1,0.884956%
diga,1,0.884956%
el,4,3.539823%
emoción,1,0.884956%
en,1,0.884956%
envejecer,1,0.884956%
es,1,0.884956%
fue,1,0.884956%
guitarra,3,2.654867%
habrá,2,1.769912%
Hay,1,0.884956%
hoy,2,1.769912%
importa,3,2.654867%
incomprensión,1,0.884956%
la,6,5.309734%
las,3,2.654867%
mar,1,0.884956%
mañana,1,0.884956%
más,2,1.769912%
no,3,2.654867%
o,1,0.884956%
otro,1,0.884956%
otros,1,0.884956%
palabra,1,0.884956%
para,2,1.769912%
pase,2,1.769912%
perdida,1,0.884956%
Pero,1,0.884956%
por,1,0.884956%
Pues,1,0.884956%
que,5,4.424779%
se,4,3.539823%
sean,1,0.884956%
sentido,1,0.884956%
ser,1,0.884956%
será,1,0.884956%
siempre,3,2.654867%
siente,1,0.884956%
sienten,1,0.884956%
sigue,1,0.884956%
sin,1,0.884956%
suelen,1,0.884956%
también,3,2.654867%
tiempo,3,2.654867%
tiempos,1,0.884956%
transformarse,1,0.884956%
tras,1,0.884956%
un,1,0.884956%
una,1,0.884956%
uno,1,0.884956%
ver,1,0.884956%
vista,1,0.884956%
voz,1,0.884956%
y,1,0.884956%
Total de palabras unicas usadas: 69
Total de palabras (repetidas): 113
Porcentaje de vocabulario distinto: 61.061947
