Palabra, veces usada, porcentaje
aburrida,1,0.581395%
algo,1,0.581395%
alguien,1,0.581395%
algún,1,0.581395%
bueno,1,0.581395%
Busco,4,2.325581%
cabeza,1,0.581395%
calor,1,0.581395%
cayó,1,0.581395%
Comunicación,1,0.581395%
con,1,0.581395%
cuerpo,1,0.581395%
de,3,1.744186%
deforme,1,0.581395%
dormida,1,0.581395%
Ella,1,0.581395%
emoción,1,0.581395%
en,3,1.744186%
encuentro,1,0.581395%
entre,1,0.581395%
es,2,1.162791%
esa,1,0.581395%
especial,2,1.162791%
esta,1,0.581395%
este,1,0.581395%
expresión,1,0.581395%
imagen,1,0.581395%
inútil,1,0.581395%
látex,1,0.581395%
líneas,1,0.581395%
mareo,1,0.581395%
me,1,0.581395%
mensaje,1,0.581395%
mi,1,0.581395%
Nada,28,16.279070%
no,3,1.744186%
off,1,0.581395%
oh,66,38.372093%
pensar,1,0.581395%
Pero,1,0.581395%
personal,10,5.813954%
puede,1,0.581395%
que,2,1.162791%
sacuda,1,0.581395%
saque,1,0.581395%
Sería,1,0.581395%
siento,1,0.581395%
simular,1,0.581395%
sin,1,0.581395%
Sinceramente,1,0.581395%
tan,1,0.581395%
tanto,1,0.581395%
tocarte,1,0.581395%
tu,1,0.581395%
Una,1,0.581395%
voz,1,0.581395%
vídeo,1,0.581395%
Y,2,1.162791%
Total de palabras unicas usadas: 58
Total de palabras (repetidas): 172
Porcentaje de vocabulario distinto: 33.720932
