Palabra, veces usada, porcentaje
a,7,3.846154%
adorarte,2,1.098901%
aguanta,2,1.098901%
alegría,1,0.549451%
amor,1,0.549451%
anunciando,1,0.549451%
aquel,1,0.549451%
cambie,1,0.549451%
canciones,1,0.549451%
cantarte,2,1.098901%
cuántos,2,1.098901%
de,13,7.142858%
des,1,0.549451%
Después,2,1.098901%
dices,1,0.549451%
digo,1,0.549451%
el,2,1.098901%
equivocada,1,0.549451%
ese,1,0.549451%
eso,2,1.098901%
estoy,1,0.549451%
está,1,0.549451%
falta,4,2.197802%
favor,3,1.648352%
hablo,1,0.549451%
he,2,1.098901%
juro,1,0.549451%
la,2,1.098901%
ladra,1,0.549451%
ladrarte,1,0.549451%
ladró,1,0.549451%
le,2,1.098901%
letra,1,0.549451%
llegada,1,0.549451%
lo,1,0.549451%
loco,1,0.549451%
me,2,1.098901%
mi,1,0.549451%
millón,4,2.197802%
mis,1,0.549451%
molesta,11,6.043956%
molestarte,2,1.098901%
no,9,4.945055%
nombre,1,0.549451%
Oh,3,1.648352%
olvidarte,1,0.549451%
olvide,1,0.549451%
otra,1,0.549451%
paciencia,1,0.549451%
pedrada,1,0.549451%
perro,2,1.098901%
persona,1,0.549451%
pides,1,0.549451%
poco,1,0.549451%
poema,1,0.549451%
por,3,1.648352%
primaveras,4,2.197802%
punto,1,0.549451%
que,4,2.197802%
quite,1,0.549451%
si,9,4.945055%
siglos,2,1.098901%
Solo,6,3.296704%
Te,14,7.692308%
tema,1,0.549451%
Ten,1,0.549451%
tu,2,1.098901%
un,5,2.747253%
Unos,2,1.098901%
volverá,1,0.549451%
volveré,2,1.098901%
vuelvo,2,1.098901%
Y,4,2.197802%
ya,3,1.648352%
Yo,1,0.549451%
Total de palabras unicas usadas: 75
Total de palabras (repetidas): 182
Porcentaje de vocabulario distinto: 41.208794
