Palabra, veces usada, porcentaje
a,15,1.693002%
abandonó,1,0.112867%
actores,1,0.112867%
actrices,1,0.112867%
admiración,1,0.112867%
al,4,0.451467%
amargo,1,0.112867%
Amó,1,0.112867%
Andrés,4,0.451467%
antipatía,1,0.112867%
Aprende,1,0.112867%
aquel,1,0.112867%
aquí,1,0.112867%
arte,1,0.112867%
así,1,0.112867%
avisar,1,0.112867%
Ay,4,0.451467%
años,1,0.112867%
Basta,1,0.112867%
bien,1,0.112867%
buen,12,1.354402%
buena,10,1.128668%
caen,1,0.112867%
cama,1,0.112867%
Cambió,1,0.112867%
caminar,1,0.112867%
canto,1,0.112867%
cantó,1,0.112867%
carterón,1,0.112867%
casa,1,0.112867%
causa,4,0.451467%
Causó,1,0.112867%
cediendo,1,0.112867%
changa,1,0.112867%
cielo,1,0.112867%
cierto,1,0.112867%
cobrando,1,0.112867%
cocha,2,0.225734%
como,1,0.112867%
compasión,1,0.112867%
Con,4,0.451467%
conoces,1,0.112867%
conquistó,1,0.112867%
corregir,9,1.015801%
cosa,6,0.677201%
cosas,4,0.451467%
crezcas,1,0.112867%
criado,1,0.112867%
Cuando,1,0.112867%
Cuenta,1,0.112867%
cuerpo,13,1.467269%
Cómo,1,0.112867%
de,16,1.805869%
dejó,1,0.112867%
del,4,0.451467%
demás,1,0.112867%
dentro,1,0.112867%
destacada,1,0.112867%
destino,1,0.112867%
dice,1,0.112867%
dijo,1,0.112867%
dobla,9,1.015801%
dobló,1,0.112867%
don,1,0.112867%
donde,3,0.338600%
dramático,1,0.112867%
dura,1,0.112867%
día,2,0.225734%
echa,8,0.902935%
Eh,3,0.338600%
ejecutivo,1,0.112867%
el,10,1.128668%
elegante,6,0.677201%
ella,4,0.451467%
embrujó,1,0.112867%
en,10,1.128668%
endereza,9,1.015801%
enfermedad,1,0.112867%
enfermo,1,0.112867%
entre,2,0.225734%
Epa,1,0.112867%
error,1,0.112867%
es,9,1.015801%
esa,1,0.112867%
escena,2,0.225734%
escribía,1,0.112867%
esplendor,1,0.112867%
estaba,2,0.225734%
estrella,1,0.112867%
