Palabra, veces usada, porcentaje
a,30,1.830384%
abierto,1,0.061013%
abriles,1,0.061013%
aburrido,1,0.061013%
aceras,1,0.061013%
acero,1,0.061013%
agua,1,0.061013%
aguas,1,0.061013%
ahora,7,0.427090%
al,10,0.610128%
algo,2,0.122026%
algún,2,0.122026%
alivia,1,0.061013%
Allá,1,0.061013%
almanaque,1,0.061013%
amanecer,1,0.061013%
amansen,1,0.061013%
amar,3,0.183038%
amor,9,0.549115%
amén,1,0.061013%
and,1,0.061013%
anda,1,0.061013%
andaba,1,0.061013%
anochecer,2,0.122026%
antequera,1,0.061013%
antes,3,0.183038%
Antigua,1,0.061013%
apostar,2,0.122026%
aposté,1,0.061013%
Aquel,3,0.183038%
aquí,3,0.183038%
ardiendo,2,0.122026%
armado,1,0.061013%
aro,1,0.061013%
arpía,1,0.061013%
arquero,1,0.061013%
arrancar,3,0.183038%
arrepentirás,1,0.061013%
arriba,1,0.061013%
ases,1,0.061013%
Asesino,1,0.061013%
así,7,0.427090%
atrae,2,0.122026%
audaz,1,0.061013%
Aunque,1,0.061013%
avivando,1,0.061013%
azar,1,0.061013%
azul,2,0.122026%
años,1,0.061013%
baccarat,1,0.061013%
bailar,1,0.061013%
Bajo,2,0.122026%
bakalao,1,0.061013%
banquillo,1,0.061013%
bares,1,0.061013%
barrerán,2,0.122026%
bañera,1,0.061013%
bebé,1,0.061013%
beso,2,0.122026%
blues,5,0.305064%
bolero,1,0.061013%
borde,1,0.061013%
Bruja,1,0.061013%
bruto,1,0.061013%
buen,1,0.061013%
buena,1,0.061013%
bueno,2,0.122026%
bugui,2,0.122026%
caderas,1,0.061013%
calavera,3,0.183038%
calculadora,1,0.061013%
calipso,1,0.061013%
calle,1,0.061013%
calvo,1,0.061013%
cambian,2,0.122026%
cambió,1,0.061013%
Camino,1,0.061013%
canastera,1,0.061013%
canta,1,0.061013%
cantar,26,1.586333%
cante,1,0.061013%
Canterville,1,0.061013%
canuto,1,0.061013%
capo,1,0.061013%
capullo,1,0.061013%
carabanchelera,1,0.061013%
cargo,3,0.183038%
carreteras,1,0.061013%
cayendo,1,0.061013%
cenizas,2,0.122026%
ceros,1,0.061013%
chispa,4,0.244051%
chistera,1,0.061013%
cielo,1,0.061013%
cinco,1,0.061013%
cintura,1,0.061013%
Claramente,2,0.122026%
clase,3,0.183038%
cola,1,0.061013%
