Palabra, veces usada, porcentaje
a,23,1.210526%
abierta,1,0.052632%
Abre,1,0.052632%
afecto,1,0.052632%
agarrarte,2,0.105263%
agua,15,0.789474%
aguanto,2,0.105263%
aguas,5,0.263158%
ahh,1,0.052632%
Ahora,4,0.210526%
ajetreo,2,0.105263%
al,6,0.315789%
alegremente,3,0.157895%
allá,1,0.052632%
allí,1,0.052632%
ama,1,0.052632%
amado,3,0.157895%
amamos,1,0.052632%
amanecer,1,0.052632%
amar,1,0.052632%
amenaza,1,0.052632%
amiga,1,0.052632%
amo,4,0.210526%
amor,4,0.210526%
amó,5,0.263158%
andariega,1,0.052632%
ando,1,0.052632%
Anoche,1,0.052632%
Antártica,1,0.052632%
apaga,1,0.052632%
apresura,1,0.052632%
aquí,1,0.052632%
arde,1,0.052632%
aroma,1,0.052632%
arroyo,1,0.052632%
atarte,2,0.105263%
atascado,1,0.052632%
atrás,2,0.105263%
Auch,4,0.210526%
ave,2,0.105263%
Ay,15,0.789474%
Ayer,1,0.052632%
azul,2,0.105263%
azules,1,0.052632%
bailar,1,0.052632%
balanceo,7,0.368421%
barco,6,0.315789%
basta,1,0.052632%
Bebiendo,1,0.052632%
belleza,6,0.315789%
bello,1,0.052632%
bendita,1,0.052632%
Besa,1,0.052632%
Beto,1,0.052632%
bien,1,0.052632%
bienvenida,1,0.052632%
bocina,1,0.052632%
bofetón,1,0.052632%
bordea,1,0.052632%
bossa,2,0.105263%
botella,1,0.052632%
brillando,1,0.052632%
cabrón,8,0.421053%
cae,1,0.052632%
cainga,1,0.052632%
calla,2,0.105263%
cama,2,0.105263%
camarones,6,0.315789%
camina,1,0.052632%
camino,11,0.578947%
campo,2,0.105263%
canción,6,0.315789%
candela,1,0.052632%
canta,1,0.052632%
cantando,1,0.052632%
cantar,5,0.263158%
Caribe,1,0.052632%
Carioca,6,0.315789%
caripela,1,0.052632%
cariño,1,0.052632%
casa,2,0.105263%
castigo,1,0.052632%
causa,1,0.052632%
caviar,1,0.052632%
cayendo,2,0.105263%
Cañón,1,0.052632%
celoso,5,0.263158%
certeza,1,0.052632%
chica,2,0.105263%
Cielo,2,0.105263%
ciudad,2,0.105263%
clavo,1,0.052632%
