Palabra, veces usada, porcentaje
a,51,2.557673%
aceptar,2,0.100301%
acordar,6,0.300903%
acordarme,2,0.100301%
adoraba,2,0.100301%
ahh,1,0.050150%
ahora,7,0.351053%
ahí,4,0.200602%
al,7,0.351053%
alma,5,0.250752%
altar,3,0.150451%
Alumbraron,2,0.100301%
amaba,1,0.050150%
amabas,1,0.050150%
amado,2,0.100301%
amar,4,0.200602%
amas,2,0.100301%
ambicione,2,0.100301%
amo,10,0.501504%
amor,44,2.206620%
amores,6,0.300903%
amándome,1,0.050150%
apoderó,1,0.050150%
aquellas,1,0.050150%
aquí,2,0.100301%
asombres,2,0.100301%
así,4,0.200602%
Ay,1,0.050150%
ayer,1,0.050150%
azar,3,0.150451%
berdad,2,0.100301%
besando,3,0.150451%
besar,2,0.100301%
beso,5,0.250752%
besos,1,0.050150%
bien,8,0.401204%
bo,1,0.050150%
boca,3,0.150451%
bonita,6,0.300903%
brazos,3,0.150451%
buena,6,0.300903%
burlaran,3,0.150451%
buscaba,2,0.100301%
cada,3,0.150451%
cambie,1,0.050150%
cambio,7,0.351053%
camino,4,0.200602%
canción,4,0.200602%
cariño,3,0.150451%
caro,2,0.100301%
casar,1,0.050150%
cielo,2,0.100301%
clavaste,1,0.050150%
Cobijarte,3,0.150451%
comentaran,1,0.050150%
como,26,1.303912%
con,42,2.106319%
conquistado,2,0.100301%
conseguiras,1,0.050150%
consentida,4,0.200602%
consolarme,1,0.050150%
contemplar,1,0.050150%
contigo,5,0.250752%
corazón,15,0.752257%
corre,1,0.050150%
cosas,2,0.100301%
creído,2,0.100301%
cruz,3,0.150451%
Cual,2,0.100301%
Cuanto,2,0.100301%
Cuesta,2,0.100301%
cuidado,3,0.150451%
cumbia,1,0.050150%
da,4,0.200602%
darte,3,0.150451%
de,70,3.510531%
Debo,3,0.150451%
decir,5,0.250752%
Decirte,3,0.150451%
dejaste,3,0.150451%
deje,4,0.200602%
del,3,0.150451%
delirio,2,0.100301%
Desde,4,0.200602%
desesperadamente,3,0.150451%
desespero,2,0.100301%
Después,2,0.100301%
Dicen,2,0.100301%
Dices,18,0.902708%
digo,2,0.100301%
doliera,2,0.100301%
doy,4,0.200602%
duda,2,0.100301%
déjalo,4,0.200602%
Déjame,4,0.200602%
día,6,0.300903%
echiso,3,0.150451%
el,23,1.153460%
electro,1,0.050150%
embrujado,2,0.100301%
embrujo,4,0.200602%
emoción,1,0.050150%
empezó,2,0.100301%
en,24,1.203611%
enamorado,3,0.150451%
enamorar,5,0.250752%
encantado,4,0.200602%
Engañas,6,0.300903%
enterara,3,0.150451%
entrar,3,0.150451%
entre,3,0.150451%
entregabas,1,0.050150%
envidia,3,0.150451%
Eres,6,0.300903%
error,2,0.100301%
es,9,0.451354%
esas,3,0.150451%
escapa,2,0.100301%
escapar,2,0.100301%
escribiendo,2,0.100301%
ese,6,0.300903%
eso,2,0.100301%
esperando,1,0.050150%
espinas,2,0.100301%
esta,2,0.100301%
estaba,4,0.200602%
estado,1,0.050150%
estar,2,0.100301%
estas,1,0.050150%
estilo,1,0.050150%
esto,6,0.300903%
estoy,1,0.050150%
estremecer,1,0.050150%
estás,14,0.702106%
experiencia,2,0.100301%
explicación,1,0.050150%
fatal,2,0.100301%
favor,1,0.050150%
feliz,5,0.250752%
flores,3,0.150451%
frente,1,0.050150%
Fue,8,0.401204%
fuego,2,0.100301%
fui,1,0.050150%
fuiste,4,0.200602%
gano,3,0.150451%
gente,3,0.150451%
gigante,8,0.401204%
golpe,1,0.050150%
gracias,4,0.200602%
gran,4,0.200602%
ha,2,0.100301%
haberte,4,0.200602%
hace,3,0.150451%
hacia,2,0.100301%
has,7,0.351053%
hay,3,0.150451%
he,5,0.250752%
Hechizado,4,0.200602%
hice,2,0.100301%
hiciste,1,0.050150%
hierro,2,0.100301%
hipocresía,2,0.100301%
hizo,2,0.100301%
hombre,3,0.150451%
hombres,6,0.300903%
Honestamente,1,0.050150%
horas,1,0.050150%
hoy,5,0.250752%
hundo,1,0.050150%
ibas,1,0.050150%
igual,1,0.050150%
importa,2,0.100301%
Indiscretamente,1,0.050150%
inesperadamente,2,0.100301%
ingrato,2,0.100301%
intención,6,0.300903%
Iré,1,0.050150%
jose,1,0.050150%
juguete,2,0.100301%
junto,4,0.200602%
la,19,0.952859%
labios,2,0.100301%
lado,2,0.100301%
las,6,0.300903%
Lejos,4,0.200602%
lindos,2,0.100301%
llegar,1,0.050150%
llenado,1,0.050150%
llorando,2,0.100301%
llorar,28,1.404213%
llore,2,0.100301%
lo,17,0.852558%
loca,6,0.300903%
lograra,3,0.150451%
Los,7,0.351053%
Luna,1,0.050150%
mal,1,0.050150%
Maldita,2,0.100301%
manera,2,0.100301%
manos,2,0.100301%
mar,1,0.050150%
martirio,2,0.100301%
mas,14,0.702106%
me,43,2.156469%
mentiras,12,0.601805%
mentirosa,12,0.601805%
mentirá,1,0.050150%
mi,51,2.557673%
miel,1,0.050150%
mirar,2,0.100301%
mis,7,0.351053%
mix,1,0.050150%
miz,1,0.050150%
Muchachita,4,0.200602%
mujer,11,0.551655%
muy,1,0.050150%
más,4,0.200602%
México,1,0.050150%
mí,1,0.050150%
mía,1,0.050150%
mío,1,0.050150%
nada,3,0.150451%
nadie,5,0.250752%
negros,2,0.100301%
Ni,8,0.401204%
niño,2,0.100301%
No,61,3.059177%
