Palabra, veces usada, porcentaje
a,130,2.317704%
abajo,2,0.035657%
abrigo,2,0.035657%
abrume,1,0.017828%
absoluta,1,0.017828%
abuela,1,0.017828%
acabar,1,0.017828%
acabo,1,0.017828%
acción,1,0.017828%
Acelerao,3,0.053485%
aceleres,1,0.017828%
acepten,1,0.017828%
acera,1,0.017828%
acertijos,1,0.017828%
aclarar,1,0.017828%
acuerdo,1,0.017828%
Acuérdate,2,0.035657%
acá,2,0.035657%
Además,2,0.035657%
adicto,1,0.017828%
adversario,1,0.017828%
Agarro,1,0.017828%
agujeros,1,0.017828%
ah,5,0.089142%
ahoga,1,0.017828%
Ahora,13,0.231770%
ahí,2,0.035657%
aire,2,0.035657%
ajeno,1,0.017828%
ajá,1,0.017828%
al,19,0.338741%
alas,1,0.017828%
Alaska,1,0.017828%
alcohol,1,0.017828%
Aleikum,1,0.017828%
Alemán,3,0.053485%
alerta,1,0.017828%
alertaron,3,0.053485%
alfombra,1,0.017828%
algo,5,0.089142%
algunas,1,0.017828%
aliviado,1,0.017828%
allá,1,0.017828%
alma,2,0.035657%
almas,1,0.017828%
alta,2,0.035657%
am,1,0.017828%
amamos,1,0.017828%
amanece,2,0.035657%
amarte,1,0.017828%
amiga,2,0.035657%
amigo,1,0.017828%
amo,1,0.017828%
Amor,4,0.071314%
anchos,1,0.017828%
anda,1,0.017828%
Andamos,2,0.035657%
andinos,1,0.017828%
ando,4,0.071314%
Angelito,1,0.017828%
Antes,1,0.017828%
antología,2,0.035657%
apareció,1,0.017828%
aparición,1,0.017828%
aparte,1,0.017828%
apellido,1,0.017828%
apenas,1,0.017828%
aplasta,1,0.017828%
aplico,2,0.035657%
aprendas,1,0.017828%
aprendí,3,0.053485%
aprueba,1,0.017828%
apuesto,1,0.017828%
apuntan,1,0.017828%
apuntas,1,0.017828%
apática,1,0.017828%
aquel,2,0.035657%
aquello,1,0.017828%
aquí,9,0.160456%
Arafat,1,0.017828%
Ardiente,2,0.035657%
area,1,0.017828%
argentino,1,0.017828%
Arnold,1,0.017828%
arrechera,1,0.017828%
arrepentido,1,0.017828%
arriba,1,0.017828%
arte,1,0.017828%
asesino,1,0.017828%
asomas,1,0.017828%
asombró,1,0.017828%
así,13,0.231770%
ataco,1,0.017828%
atasca,1,0.017828%
ateo,1,0.017828%
atreves,2,0.035657%
atrás,3,0.053485%
aun,5,0.089142%
aunque,11,0.196113%
avergonzarte,1,0.017828%
ay,1,0.017828%
azotea,1,0.017828%
azufre,1,0.017828%
año,2,0.035657%
años,3,0.053485%
aún,7,0.124799%
Baby,5,0.089142%
Bacardi,1,0.017828%
bache,1,0.017828%
Bada,1,0.017828%
bailando,2,0.035657%
bajan,1,0.017828%
bajaron,3,0.053485%
balas,4,0.071314%
Ballin,1,0.017828%
balones,1,0.017828%
bap,4,0.071314%
bar,2,0.035657%
barco,4,0.071314%
bardas,1,0.017828%
barra,2,0.035657%
barrio,4,0.071314%
bass,1,0.017828%
basta,1,0.017828%
bastardo,1,0.017828%
baño,1,0.017828%
Beethoven,1,0.017828%
Bentley,1,0.017828%
bestia,1,0.017828%
Besándome,1,0.017828%
bicha,2,0.035657%
bici,2,0.035657%
bien,12,0.213942%
billete,1,0.017828%
Bing,1,0.017828%
bipolar,4,0.071314%
bloqueando,1,0.017828%
bluf,1,0.017828%
blunts,1,0.017828%
boca,1,0.017828%
bola,1,0.017828%
bolos,1,0.017828%
bolsillo,1,0.017828%
bolsillos,1,0.017828%
bolsita,1,0.017828%
Bolívar,1,0.017828%
bondades,1,0.017828%
Boom,4,0.071314%
borrachera,1,0.017828%
borracho,2,0.035657%
borrar,1,0.017828%
botella,1,0.017828%
boticas,1,0.017828%
brava,1,0.017828%
brazo,1,0.017828%
breve,2,0.035657%
brillo,1,0.017828%
brinco,1,0.017828%
brinda,1,0.017828%
Brindo,1,0.017828%
bronca,1,0.017828%
brota,1,0.017828%
brothas,1,0.017828%
Buda,1,0.017828%
buena,1,0.017828%
Buenas,3,0.053485%
bueno,2,0.035657%
bum,1,0.017828%
burlaban,1,0.017828%
busca,8,0.142628%
Buscando,1,0.017828%
buscar,1,0.017828%
buscas,10,0.178285%
busco,1,0.017828%
caballero,1,0.017828%
cabeza,3,0.053485%
cabrona,1,0.017828%
cabronas,2,0.035657%
cabrón,7,0.124799%
cacha,1,0.017828%
cada,2,0.035657%
cadenón,1,0.017828%
cagan,1,0.017828%
caigo,1,0.017828%
calada,3,0.053485%
calcina,1,0.017828%
calientes,1,0.017828%
callaron,3,0.053485%
calma,3,0.053485%
cama,3,0.053485%
cambiado,3,0.053485%
cambiar,4,0.071314%
cambiarlo,1,0.017828%
cambien,1,0.017828%
camino,2,0.035657%
caminos,1,0.017828%
camioneta,1,0.017828%
Camisa,1,0.017828%
Campari,1,0.017828%
campeón,1,0.017828%
canalas,1,0.017828%
canasta,2,0.035657%
Cancha,1,0.017828%
canciones,1,0.017828%
candela,1,0.017828%
cansa,1,0.017828%
cansado,1,0.017828%
cantar,2,0.035657%
canto,2,0.035657%
Cara,5,0.089142%
Carlos,3,0.053485%
cars,1,0.017828%
cartera,5,0.089142%
casa,3,0.053485%
cash,1,0.017828%
casi,1,0.017828%
caso,2,0.035657%
casta,1,0.017828%
castellano,1,0.017828%
castigo,1,0.017828%
castigos,1,0.017828%
cayendo,1,0.017828%
caí,1,0.017828%
cel,1,0.017828%
cementerio,1,0.017828%
cena,1,0.017828%
ceniza,1,0.017828%
centro,1,0.017828%
Cerbero,1,0.017828%
cero,1,0.017828%
ceros,1,0.017828%
cerveza,1,0.017828%
cervezas,1,0.017828%
chaleco,1,0.017828%
Champions,1,0.017828%
Charles,1,0.017828%
Charlo,1,0.017828%
Charlot,1,0.017828%
Charola,1,0.017828%
cheque,1,0.017828%
chica,2,0.035657%
chicas,1,0.017828%
chico,2,0.035657%
chingo,2,0.035657%
chiquito,1,0.017828%
chocos,1,0.017828%
chola,1,0.017828%
cholo,1,0.017828%
chupando,1,0.017828%
chupar,2,0.035657%
chuzo,1,0.017828%
Ché,1,0.017828%
cicatrices,1,0.017828%
cielo,1,0.017828%
cien,3,0.053485%
cinco,1,0.017828%
cinturón,1,0.017828%
Clan,1,0.017828%
claro,4,0.071314%
clave,1,0.017828%
closet,1,0.017828%
club,1,0.017828%
clásico,1,0.017828%
cobra,1,0.017828%
coche,2,0.035657%
Cogemos,1,0.017828%
cojea,1,0.017828%
Colón,1,0.017828%
combate,1,0.017828%
combino,1,0.017828%
comen,1,0.017828%
Comencé,1,0.017828%
comerciantes,1,0.017828%
comerás,2,0.035657%
como,24,0.427884%
compa,1,0.017828%
compas,2,0.035657%
complicada,1,0.017828%
Comprende,12,0.213942%
comprendes,34,0.606169%
compro,2,0.035657%
compré,1,0.017828%
compuesto,1,0.017828%
comunes,1,0.017828%
con,59,1.051881%
conciencia,1,0.017828%
conductora,1,0.017828%
conformar,1,0.017828%
Confundido,1,0.017828%
confusas,4,0.071314%
confuso,1,0.017828%
Conmigo,6,0.106971%
conmovido,1,0.017828%
conoce,1,0.017828%
conocerte,1,0.017828%
conocidos,1,0.017828%
conocí,1,0.017828%
conozco,1,0.017828%
conservalo,1,0.017828%
consigo,1,0.017828%
consume,2,0.035657%
contigo,4,0.071314%
contradicciones,1,0.017828%
contrario,1,0.017828%
contrato,2,0.035657%
control,11,0.196113%
controlar,1,0.017828%
Controlas,1,0.017828%
convertirme,1,0.017828%
convertía,1,0.017828%
conviene,1,0.017828%
convierta,1,0.017828%
copiloto,1,0.017828%
corazón,6,0.106971%
corderos,5,0.089142%
cordura,1,0.017828%
correa,1,0.017828%
corren,1,0.017828%
correr,2,0.035657%
corriente,1,0.017828%
Cortazar,1,0.017828%
corte,1,0.017828%
