Palabra, veces usada, porcentaje
a,38,1.923077%
abajo,1,0.050607%
absoluto,1,0.050607%
acaba,1,0.050607%
acarician,1,0.050607%
Acogedor,1,0.050607%
admiras,2,0.101215%
adorando,2,0.101215%
adoro,2,0.101215%
aferré,1,0.050607%
ahogan,2,0.101215%
al,12,0.607287%
algo,1,0.050607%
alguien,2,0.101215%
alimenta,1,0.050607%
alma,1,0.050607%
alquilado,1,0.050607%
amantes,1,0.050607%
amarras,2,0.101215%
amigos,3,0.151822%
amo,2,0.101215%
amor,11,0.556680%
anhelo,2,0.101215%
anunciada,1,0.050607%
apagar,2,0.101215%
aparte,2,0.101215%
aprender,1,0.050607%
aquí,2,0.101215%
arco,1,0.050607%
arma,1,0.050607%
arrastrar,2,0.101215%
arroyo,1,0.050607%
Así,4,0.202429%
ayúdame,1,0.050607%
azotan,1,0.050607%
Azul,2,0.101215%
azules,1,0.050607%
azúcar,2,0.101215%
Bajar,3,0.151822%
bajo,2,0.101215%
bastante,1,0.050607%
bebé,7,0.354251%
bebés,1,0.050607%
benditamente,1,0.050607%
besados,1,0.050607%
besas,1,0.050607%
beso,1,0.050607%
besos,3,0.151822%
blancas,1,0.050607%
bombo,1,0.050607%
bonita,1,0.050607%
bonito,1,0.050607%
braza,1,0.050607%
brillantes,1,0.050607%
brote,1,0.050607%
bruma,1,0.050607%
brumoso,1,0.050607%
Bueno,2,0.101215%
burla,1,0.050607%
busca,1,0.050607%
buscando,2,0.101215%
bésame,1,0.050607%
cadenas,2,0.101215%
cajas,1,0.050607%
cajón,1,0.050607%
callada,2,0.101215%
calle,6,0.303644%
calles,2,0.101215%
calma,1,0.050607%
Camina,1,0.050607%
caminaba,2,0.101215%
camino,2,0.101215%
canción,2,0.101215%
cansado,1,0.050607%
cantar,3,0.151822%
canto,1,0.050607%
Cariño,1,0.050607%
casas,1,0.050607%
cerca,3,0.151822%
chica,2,0.101215%
chico,3,0.151822%
chicos,2,0.101215%
cielo,6,0.303644%
cielos,1,0.050607%
ciudad,2,0.101215%
cobran,1,0.050607%
colores,1,0.050607%
comienzan,1,0.050607%
como,9,0.455466%
compleja,1,0.050607%
completo,1,0.050607%
con,4,0.202429%
confiesa,1,0.050607%
conociendo,1,0.050607%
convirtiendo,1,0.050607%
corazón,5,0.253036%
correr,3,0.151822%
Corrió,1,0.050607%
corro,4,0.202429%
corrí,12,0.607287%
crecer,1,0.050607%
Criaremos,2,0.101215%
crónica,1,0.050607%
cuando,2,0.101215%
cuenta,2,0.101215%
Cuidado,2,0.101215%
cuyo,1,0.050607%
Cuándo,1,0.050607%
cómo,2,0.101215%
darte,2,0.101215%
das,1,0.050607%
de,41,2.074899%
debajo,1,0.050607%
Debería,2,0.101215%
deberías,2,0.101215%
dejes,1,0.050607%
del,7,0.354251%
delirio,1,0.050607%
dem,10,0.506073%
demasiado,4,0.202429%
dentro,3,0.151822%
derecho,1,0.050607%
desbordan,1,0.050607%
desconocido,1,0.050607%
descontento,1,0.050607%
desde,6,0.303644%
despertarás,1,0.050607%
despertaré,1,0.050607%
despiertan,1,0.050607%
dia,3,0.151822%
diablo,6,0.303644%
diciendo,2,0.101215%
difusos,1,0.050607%
digo,4,0.202429%
dije,3,0.151822%
dijo,4,0.202429%
diminuto,1,0.050607%
disparo,1,0.050607%
divina,1,0.050607%
dolencias,1,0.050607%
dolió,1,0.050607%
dolor,2,0.101215%
Donde,2,0.101215%
dos,8,0.404858%
duele,1,0.050607%
dulce,1,0.050607%
dándose,1,0.050607%
Déjame,4,0.202429%
día,12,0.607287%
días,1,0.050607%
dónde,6,0.303644%
ego,1,0.050607%
el,66,3.340081%
ella,4,0.202429%
emociona,1,0.050607%
empalma,1,0.050607%
empezar,2,0.101215%
en,30,1.518219%
enamorado,1,0.050607%
enamorados,2,0.101215%
enrola,1,0.050607%
entenderlo,1,0.050607%
Entonces,4,0.202429%
entre,2,0.101215%
era,1,0.050607%
Eres,2,0.101215%
Es,87,4.402834%
Esa,1,0.050607%
esconderse,1,0.050607%
esconderte,3,0.151822%
escondidas,1,0.050607%
Escondido,2,0.101215%
escrito,1,0.050607%
escucharnos,2,0.101215%
Escucho,1,0.050607%
escóndeme,6,0.303644%
escúchame,3,0.151822%
ese,3,0.151822%
eso,4,0.202429%
espera,1,0.050607%
esperando,3,0.151822%
espesa,1,0.050607%
estaba,12,0.607287%
estabas,1,0.050607%
estado,3,0.151822%
estar,4,0.202429%
estará,1,0.050607%
este,4,0.202429%
Estoy,4,0.202429%
estrellas,1,0.050607%
está,7,0.354251%
están,2,0.101215%
estás,3,0.151822%
evidencias,1,0.050607%
explota,1,0.050607%
expuestas,1,0.050607%
extraño,1,0.050607%
familia,2,0.101215%
farol,1,0.050607%
farra,2,0.101215%
favor,10,0.506073%
felices,2,0.101215%
fin,2,0.101215%
flama,1,0.050607%
floran,1,0.050607%
florecer,1,0.050607%
flores,1,0.050607%
fracturas,1,0.050607%
Fruto,1,0.050607%
fría,1,0.050607%
frío,1,0.050607%
fue,4,0.202429%
fuego,1,0.050607%
fuiste,5,0.253036%
garfios,2,0.101215%
garras,2,0.101215%
gatito,1,0.050607%
gente,2,0.101215%
grietas,1,0.050607%
gritó,3,0.151822%
guante,1,0.050607%
guerra,1,0.050607%
guiando,1,0.050607%
gusta,1,0.050607%
gusto,1,0.050607%
haber,1,0.050607%
hacerlo,2,0.101215%
hacia,11,0.556680%
hagas,1,0.050607%
haremos,2,0.101215%
he,9,0.455466%
hecho,4,0.202429%
hielo,1,0.050607%
hilo,2,0.101215%
hirviendo,6,0.303644%
Hizo,1,0.050607%
hornear,2,0.101215%
huesos,1,0.050607%
ilusión,1,0.050607%
Imagíname,1,0.050607%
Imagínate,1,0.050607%
indefenso,1,0.050607%
intranquilo,1,0.050607%
inventado,1,0.050607%
iris,1,0.050607%
irremediablemente,1,0.050607%
izquierda,1,0.050607%
juego,2,0.101215%
jugar,1,0.050607%
junta,1,0.050607%
juntos,1,0.050607%
justo,2,0.101215%
Júpiter,1,0.050607%
kilo,1,0.050607%
la,45,2.277328%
labios,2,0.101215%
lado,1,0.050607%
largo,2,0.101215%
las,14,0.708502%
latido,1,0.050607%
lava,1,0.050607%
le,2,0.101215%
Lejos,1,0.050607%
llama,1,0.050607%
Llena,3,0.151822%
lleva,1,0.050607%
lleves,2,0.101215%
llorando,5,0.253036%
llorar,1,0.050607%
Lloré,2,0.101215%
Llévame,1,0.050607%
lo,20,1.012146%
locura,1,0.050607%
los,11,0.556680%
lugar,1,0.050607%
Luna,7,0.354251%
lunada,2,0.101215%
lunita,1,0.050607%
luto,1,0.050607%
luz,8,0.404858%
lágrimas,5,0.253036%
mal,1,0.050607%
mala,4,0.202429%
maldito,1,0.050607%
manera,2,0.101215%
mano,3,0.151822%
mar,6,0.303644%
maravillas,1,0.050607%
maravilloso,4,0.202429%
marchita,1,0.050607%
Marte,1,0.050607%
María,6,0.303644%
mas,1,0.050607%
mayor,1,0.050607%
mañana,3,0.151822%
me,21,1.062753%
menos,1,0.050607%
mesa,1,0.050607%
mi,65,3.289474%
miedos,1,0.050607%
mientras,1,0.050607%
mil,2,0.101215%
minuto,1,0.050607%
Mira,5,0.253036%
mirarme,2,0.101215%
mismo,4,0.202429%
mola,1,0.050607%
momento,1,0.050607%
