Palabra, veces usada, porcentaje
a,29,1.502591%
abajo,1,0.051813%
adentro,13,0.673575%
adentró,2,0.103627%
Agita,1,0.051813%
agradezco,1,0.051813%
agua,2,0.103627%
ahora,1,0.051813%
ahí,1,0.051813%
al,6,0.310881%
Allá,1,0.051813%
alma,1,0.051813%
Amalia,6,0.310881%
amor,7,0.362694%
ancho,1,0.051813%
Angela,1,0.051813%
Anoche,1,0.051813%
Aplaude,1,0.051813%
aplaudir,1,0.051813%
aquella,1,0.051813%
aquí,3,0.155440%
arcoiris,1,0.051813%
arda,1,0.051813%
arriba,1,0.051813%
asesino,1,0.051813%
asfixio,2,0.103627%
así,2,0.103627%
Azúcar,1,0.051813%
baila,3,0.155440%
Bailan,3,0.155440%
bailando,1,0.051813%
bailar,3,0.155440%
baile,1,0.051813%
bajarme,1,0.051813%
barato,1,0.051813%
Beerbust,1,0.051813%
belleza,1,0.051813%
bendiga,3,0.155440%
bendita,2,0.103627%
bien,12,0.621762%
boca,2,0.103627%
bombo,1,0.051813%
Bomboro,12,0.621762%
bonita,2,0.103627%
bonito,3,0.155440%
brisa,3,0.155440%
buena,2,0.103627%
bueno,5,0.259067%
bugaloo,1,0.051813%
Caballero,1,0.051813%
caballeros,1,0.051813%
cabeza,1,0.051813%
cae,1,0.051813%
calle,6,0.310881%
campanas,2,0.103627%
canción,1,0.051813%
canela,2,0.103627%
cantando,1,0.051813%
cantante,1,0.051813%
cantar,1,0.051813%
Carnavales,1,0.051813%
cascada,2,0.103627%
cavernas,1,0.051813%
caña,2,0.103627%
celos,15,0.777202%
chica,1,0.051813%
chicos,1,0.051813%
chiquita,2,0.103627%
Ciegamente,1,0.051813%
cielo,2,0.103627%
cinco,1,0.051813%
cintura,4,0.207254%
ciudades,1,0.051813%
claro,1,0.051813%
Clásica,1,0.051813%
coche,1,0.051813%
Cocina,1,0.051813%
color,1,0.051813%
como,15,0.777202%
Con,4,0.207254%
conquistarla,1,0.051813%
consuelo,1,0.051813%
contemplaba,1,0.051813%
contigo,1,0.051813%
continúo,1,0.051813%
contrabando,1,0.051813%
convierte,3,0.155440%
coquetear,1,0.051813%
corazón,2,0.103627%
correr,1,0.051813%
corriente,1,0.051813%
cortar,2,0.103627%
cosa,2,0.103627%
crees,1,0.051813%
cristalina,1,0.051813%
cristalino,1,0.051813%
cual,1,0.051813%
Cualquier,1,0.051813%
Cuando,1,0.051813%
cuatro,1,0.051813%
cubanas,1,0.051813%
cubanos,2,0.103627%
cuero,1,0.051813%
cómo,2,0.103627%
Damas,1,0.051813%
dances,2,0.103627%
daño,1,0.051813%
de,60,3.108808%
Debo,1,0.051813%
Deja,1,0.051813%
dejaste,1,0.051813%
del,4,0.207254%
deporte,1,0.051813%
derecha,1,0.051813%
Derramaste,1,0.051813%
deseaba,1,0.051813%
desesperar,1,0.051813%
dice,2,0.103627%
dicen,1,0.051813%
diciendo,1,0.051813%
diga,1,0.051813%
digas,1,0.051813%
dijo,1,0.051813%
Dime,2,0.103627%
dimensiones,1,0.051813%
Dios,3,0.155440%
distante,1,0.051813%
divina,1,0.051813%
divino,2,0.103627%
domina,1,0.051813%
dos,3,0.155440%
dulces,1,0.051813%
Dé,1,0.051813%
déjame,1,0.051813%
días,1,0.051813%
el,42,2.176166%
ella,2,0.103627%
embrujo,1,0.051813%
en,34,1.761658%
enamorarme,1,0.051813%
encontré,1,0.051813%
engañas,21,1.088083%
enramada,3,0.155440%
enredando,1,0.051813%
enredarte,1,0.051813%
enternecer,2,0.103627%
entiendo,2,0.103627%
Entonces,2,0.103627%
eres,1,0.051813%
Erica,3,0.155440%
es,27,1.398964%
esa,1,0.051813%
esconderte,1,0.051813%
Escribí,1,0.051813%
ese,1,0.051813%
esmeraldas,1,0.051813%
espalda,1,0.051813%
España,1,0.051813%
espero,1,0.051813%
esquina,1,0.051813%
estas,2,0.103627%
Este,2,0.103627%
Esto,1,0.051813%
estoy,4,0.207254%
estrellas,1,0.051813%
está,4,0.207254%
están,3,0.155440%
estás,3,0.155440%
extraño,1,0.051813%
facho,1,0.051813%
falda,1,0.051813%
falta,1,0.051813%
fascina,1,0.051813%
favor,1,0.051813%
fiebre,1,0.051813%
fijaba,1,0.051813%
final,1,0.051813%
fino,1,0.051813%
flores,1,0.051813%
fondo,1,0.051813%
found,2,0.103627%
frente,2,0.103627%
fruta,1,0.051813%
gastaste,1,0.051813%
gemir,3,0.155440%
gente,1,0.051813%
ginebra,1,0.051813%
go,4,0.207254%
gozar,6,0.310881%
gozo,1,0.051813%
gracia,3,0.155440%
grande,1,0.051813%
gusta,1,0.051813%
Habana,3,0.155440%
habla,1,0.051813%
hablar,1,0.051813%
hablándole,1,0.051813%
hace,1,0.051813%
hacen,4,0.207254%
hacer,1,0.051813%
haciendo,2,0.103627%
Hago,1,0.051813%
hasta,2,0.103627%
hay,1,0.051813%
he,2,0.103627%
herida,1,0.051813%
hermanas,1,0.051813%
hombre,3,0.155440%
hombros,4,0.207254%
huele,1,0.051813%
I,2,0.103627%
igual,1,0.051813%
Igualito,3,0.155440%
importas,6,0.310881%
infinito,1,0.051813%
inmensa,1,0.051813%
inmensidad,1,0.051813%
Inspiración,1,0.051813%
ir,1,0.051813%
izquierda,1,0.051813%
Jessica,3,0.155440%
jugo,1,0.051813%
juguito,1,0.051813%
juro,1,0.051813%
Karate,1,0.051813%
la,45,2.331606%
lado,4,0.207254%
las,15,0.777202%
le,6,0.310881%
licores,1,0.051813%
llaman,1,0.051813%
llena,1,0.051813%
lleno,2,0.103627%
lleve,2,0.103627%
lo,45,2.331606%
los,9,0.466321%
love,2,0.103627%
luna,1,0.051813%
Lupita,3,0.155440%
macho,1,0.051813%
madrugadas,3,0.155440%
madura,1,0.051813%
magia,1,0.051813%
mambo,12,0.621762%
mamá,1,0.051813%
mando,3,0.155440%
mano,1,0.051813%
manos,1,0.051813%
mar,1,0.051813%
marcando,1,0.051813%
María,3,0.155440%
mas,3,0.155440%
matando,1,0.051813%
Me,74,3.834197%
melena,1,0.051813%
mentiras,1,0.051813%
mexicana,1,0.051813%
mexicanas,1,0.051813%
mexicanos,2,0.103627%
mi,27,1.398964%
miedo,1,0.051813%
mientras,1,0.051813%
mira,1,0.051813%
Monica,3,0.155440%
Montañas,1,0.051813%
Monte,12,0.621762%
montuno,1,0.051813%
moreno,1,0.051813%
morir,2,0.103627%
moverlo,1,0.051813%
Muchacho,2,0.103627%
muera,1,0.051813%
Mueven,4,0.207254%
mulata,4,0.207254%
mundo,2,0.103627%
